Batch No.	DP55_DP58Assay(%)	DP55_DP58Chiral평균(%ee)	DP55_반응시간(h)	DP55_내부온도(℃ ~ ℃)	DP55_압력(kgf/cm2)	DP55_DP 58(%)	DP55_증류시간(h)	DP55_pH	DP55_pH	DP55_MTBE 잔량(%)	DP55_TOL 잔량(%)	DP53_반응시간(h)	DP53_DP55잔량Final(%)	DP52_반응시간(h)	DP52_DP53 잔량(%)	DP52_HCl적가시간(h)	DP52_HCl사용량(L)	DP52_pH(6.5~7)	DP57_반응시간(h)	DP57_27.46%NaOH 투입량(kg)	DP57_내부온도(℃ ~ ℃)	DP57_DP52잔량(%)	DP57_EtOH증류시간(h)	DP57_EtOH잔량(%)(참고치)	DP57_pH(2.5~3)	DP57_10.32% HCl총사용량(L)	DP57수율_함량(%)93.0~102.0%	DP57수율_Net수율(%)	DP57수율_Chiral(% ee)	DP57수율_EtOH잔량(%)	DP57수율_OrganicImpurityTotal(%)	DP57수율_수분(%)
22007	96.29	98.27	8	42.5	6.3	0.04	24	3.8	9.3	0.03	0.01	10	2.26	12	0.53	2.5	2050	6.7	2.5	282	75.6	0.14	26.5	11.29	2.86	600	97.01	73.18	98.47	0.44	1.63	0.75
22008	96.31	98.18	8	38.6	6.3	0.04	27.5	3.7	9.3	0.19	0.26	11.5	2.5	12	1.12	2.5	2200	6.8	3.5	286	76.5	0.59	25	10.49	2.8	600	96.79	73.56	99.07	0.5	1.79	0.32
22009	96.32	98.28	8	39	6.3	0.08	28	3.5	9.17	1.59	2.38	16	3.94	10	1.27	3	2030	6.7	1	276	76.4	0.41	27.5	16.66	2.67	600	95.81	68.76	99.05	0.4	1.25	0.23
22010	98.19	98.15	8	37	6.3	0.37	26	3.5	9.3	0.07	0.05	16	4.38	12	0.98	2	2200	6.7	1	276	75.8	0.11	20	10.12	2.86	600	96.93	67.37	98.58	0.33	1.24	0.33
22011	98.32	97.94	8	42.8	6.3	0.04	24	3.6	9.2			14	2.93	12	0.97	1.5	2100	6.7	4	284	75.2	0.83	24	7.96	2.52	600	95.12	65.94	98.02	0.47	2.04	0.26
22012	98.22	98.09	8	40.1	6.3	0.09	23.5	3.4	9.3	0.03	0.06	10	2.35	10	2.55	2	2150	6.6	3	288	76.2	0.94	25	9.26	2.5	600	96.75	66.48	98.54	0.46	2.02	0.4
22013	98.22	97.85	8	39.7	6.3	0.12	21.5	3.6	9.3	2.68	3.23	10	1.85	10	2.22	2.5	2050	6.6	5	302	76.5	0.27	22.5	9.34	2.75	600	97.27	67.08	98.71	0.42	1.55	0.41
22014	98.21	97.69	8	40.7	6.3	0.05	23	3.5	9.4	0.04	0.02	12	1.33	10	2.56	2.5	2080	6.6	5	296	76.7	0.8	25	9.45	2.75	620	97.09	66.28	98.63	0.42	1.68	0.37
22015	98.19	98.07	8	36.5	6.3	0.14	26	3.4	9.3	0.05	0.03	12	2.89	12	1.85	2.5	2080	6.8	5	300	75.4	0.21	26	11.07	2.74	620	96.89	67.81	98.68	0.4	1.48	0.46
22016	98.2	98.1	8	42.1	6.3	0.04	24	3.5	9.2	0.22	3.87	14	1.41	10	0.55	3	2100	6.7	3	285	75.6	0.8	30	14.57	2.7	600	96.47	70.45	98.63	0.48	1.75	0.65
22017	98.22	98.37	8	39.9	6.3	0.1	20	3.6	9.3	0.03	0.23	12	2.36	10	1.29	3.5	2000	6.54	3	294	76.7	0.46	24.5	12.56	2.72	630	96.75	67.63	98.72	0.43	1.94	0.54
22018	98.1	98.29	8	38.7	6.3	0.03	24.5	3.5	9.4	0.04	0.09	16	4.01	10	1.05	3.5	2100	6.78	2	276	77.1	0.2	26	7.45	2.81	630	96.1	67.73	98.67	0.46	1.99	0.87
22019	97.61	97.89	8	42	6.3	0.1	22	3.6	9.35	0.04	0.18	14	1.78	10	0.47				2	276	76.2	0.3	23	10.06	2.6	600	95.91	68.54	98.36	0.47	2.15	0.71
22020	96.94	97.57	8	40.6	6.3	0.05	24	3.5	9.4	0.11	0.21	11	2.46	10	1.14	4	2050	6.68	1	276	76.7	0.3	26	11.09	2.62	600	96.13	66.87	98.7	0.43	1.85	0.74
22021	98.63	97.68	8	41.6	6.3	0.1	24	3.5	9.2	0.1	0.44	12	2.13	10	0.7	2.5	2000	6.6	1	276	75.3	0.34	29	14.9	2.56	620	96.58	65.77	98.53	0.47	1.53	0.59
22022	100	98.12	8	43	6.3	0.02	24	3.4	9.4	0.15	0.25	10	1.35	10	0.34	2.5	2050	6.6	3	280	75.7	0.31	20.5	10.47	2.78	650	97.03	66.66	98.57	0.43	1.47	0.41
22023	98.98	98.28	8	44.2	6.3	0.06	22	3.3	9.18	0.01	0.1	10	1.11	10	0.4	2.5	2000	6.8	3	280	76.1	0.7	20.5	8.04	2.55	600	95.98	63.13	98.89	0.57	2.1	0.64
22024	99.26	98.23	8	40	6.3	0.05	22	3.8	9.4	0.04	0.14	12	2.62	10	1.28	5	2050	6.68	3.5	280	76.7	0.22	30	6.15	2.55	630	96.07	62.86	98.87	0.36	1.7	0.67
22025	99.54	98.3	10	41.6	6.3	0.07	22	3.5	9.15		0.27	10	1.66	10	1.36	3	2050	6.78	1	276	76.5	0.79	24	9.61	2.61	610	95.24	61.05	98.95	0.45	2.36	0.68
22026	99.44	98.19	10	42.6	6.3	0.15	21.5	3.4	9.3	0.55	2.47	16	4.74	10	1.64	2.5	2100	6.6	1	276	76.2	0.2	21.5	5.35	2.56	590	95.66	59.69	98.96	0.31	1.9	0.32
22027	98.95	98.11	8	44.1	6.3	0.04	22	3.6	9.1	0.11	1.14	10	1.19	10	0.74	3	2000	6.54	3	280	75.5	0.42	23.5	9.42	2.7	600	95.37	60.07	98.8	0.42	2.23	0.6
22028	98.84	98.15	8	41.6	6.3	0.04	25	3.5	9.1	0.04	0.06	10	1.82	10	0.91	2.5	2050	6.8	3.5	284	76.1	0.6	25.5	7.46	2.6	550	96.11	63.7	98.87	0.45	2.03	0.49
22029	97.95	98.2	8	44.8	6.3	0.12	21	3.6	9.3		0.11	10	0.52	10	0.98	2.5	2050	6.8	4.5	298	76	0.49	25	8.67	2.5	600	96.45	65.36	99.05	0.47	1.86	0.36
22030	97.91	98.02	8	41.3	6.2	0.07	21.5	3.4	9.3		1.07	10	1.85	10	0.28	3	2000	6.6	3	291	76.1	0.96	26	8.77	2.5	600	96.02	69.86	98.66	0.48	2.06	0.35
22031	96.07	97.98	8	42.5	6.3	0.06	22.5	3.5	9.02	0.03	0.37	10	0.32	10	0.69	3	2020	6.8	3.5	316	75.8	0.61	27	4.35	2.5	600	95.3	62.56	98.66	0.51	2.29	0.41
22032	95.62	98.01	8	40.2	6.3	0.02	21	3.5	9.1	0.38	3.57	10	1.31	10	0.56	2.5	2000	6.7	3.5	306	75.2	1	24	14.58	2.5	600	96.38	70.2	98.83	0.5	1.95	0.24
22033	96.57	98.32	8	41.3	6.3	0.12	43	3.6	9.08	0.04	0.36	12	2.81	12	0.94	3	2180	6.7	3.5	288	76.2	0.85	26	8.93	2.5	650	95.74	65.37	98.86	0.48	2.39	0.46
22034	96.12	98.16	8	44.4	6.3	0.03	27.5	3.5	9.1	0.04	0.44	10	1.01	10	1.6	2	2100	6.92	4	296	77.4	0.21					95.67	64.51	98.97	0.4	2.11	0.28
22035	95.67	97.92	8	43.5	6.3	0.11	20	3.6	9.1	0.04	0.45	10	0.29	10	0.69	2	2170	6.6	4	296	77.1	0.56	25	11.78	2.6	600						
22036	95.59	98.16	8	44.6	6.3	0.14	24	3.5	9.1	0.59	0.92	16	4.34	10	0.77	2	2200	6.7	3	280	76.6	0.28	29	12.1	2.8	550						
22037	96.1	98.13	8	37	6.3	0.17	18	3.6	9.1	0.22	0.56	14	2.7	10	1.8	1.5	2150	6.6	1	276	77	0.93	29	8.39	2.5	620						
