배치번호	입고 Lot	업체 Lot	"순도
(%)"	"투입량
(kg)"	"순수량
(kg)"
	F240812032	CC2401018	92.02%	34.1	31.4
IKF24063	F241008001	CC2408020	91.71%	560	513.6
	F241008002	CC2408021	91.74%	840	770.6
	F240812032	CC2401018	92.02%	38.4	35.3
IKF24064	F241008003	CC2408022	92.16%	560	516.1
	F241008004	CC2408023	91.96%	840	772.5
	F240812032	CC2401018	92.02%	28.5	26.2
	F240812033	CC2401019	92.01%	5.1	4.7
IKF24065	F241008005	CC2408024	92.01%	560	515.3
	F241008006	CC2408025	92.05%	840	773.2
	F240812033	CC2401019	92.01%	33.7	31.0
IKF24066	F241008007	CC2408026	92.02%	560	515.3
	F241008008	CC2408027	91.99%	840	772.7
	F240812033	CC2401019	92.01%	34.2	31.5
IKF24067	F241008009	CC2408028	91.96%	560	515.0
	F241008010	CC2408029	92.00%	840	772.8
	F240812033	CC2401019	92.01%	34.5	31.7
IKF24068	F241008011	CC2408030	91.64%	560	513.2
	F241008012	CC2408031	92.06%	840	773.3
	F240812033	CC2401019	92.01%	35.9	33.0
IKF24069	F241008013	CC2408032	91.57%	560	512.8
	F241008014	CC2408033	91.64%	840	769.8
	F240812033	CC2401019	92.01%	40.1	36.9
IKF24070	F241008015	CC2408034	91.65%	560	513.2
	F241008016	CC2408035	91.67%	840	770.0
	F240812033	CC2401019	92.01%	39.4	36.3
IKF24071	F241031018	CC2408036	92.08%	560	515.6
	F241031019	CC2408037	92.14%	840	774.0
	F240812033	CC2401019	92.01%	32.5	29.9
IKF24072	F241031020	CC2408038	92.22%	560	516.4
	F241031021	CC2408039	92.25%	840	774.9
	F240812033	CC2401019	92.01%	30.6	28.2
IKF24073	F241031022	CC2408040	92.04%	560	515.4
	F241031023	CC2408041	92.07%	840	773.4
	F240812033	CC2401019	92.01%	33.4	30.7
IKF24074	F241031024	CC2409042	92.20%	560	516.3
	F241031025	CC2409043	92.06%	840	773.3
	F240812033	CC2401019	92.01%	32.5	29.9
IKF24075	F241031026	CC2409044	92.21%	560	516.4
	F241031027	CC2409045	92.14%	840	774.0
	F240812033	CC2401019	92.01%	31.7	29.2
IKF24076	F241031028	CC2409046	92.09%	560	515.7
	F241031029	CC2409047	92.06%	840	773.3
	F240812033	CC2401019	92.01%	33.1	30.5
IKF24077	F241031030	CC2409048	92.05%	560	515.5
	F241031031	CC2409049	91.80%	840	771.1
	F240812033	CC2401019	92.01%	35.8	32.9
IKF24078	F241031032	CC2409050	91.80%	560	514.1
	F241031033	CC2409051	91.85%	840	771.5
	F240812033	CC2401019	92.01%	36.8	33.9
IKF24079	F241111004	CC2409052	91.80%	560	514.1
	F241111005	CC2409053	91.81%	840	771.2
	F240812033	CC2401019	92.01%	37.2	34.2
IKF24080	F241111006	CC2409054	91.97%	560	515.0
	F241111007	CC2409055	91.79%	840	771.0
	F240812033	CC2401019	92.01%	36.3	33.4
IKF24081	F241111008	CC2409056	91.84%	560	514.3
	F241111009	CC2409057	91.69%	840	770.2
	F240812033	CC2401019	92.01%	38	35.0
IKF24082	F241111010	CC2409058	91.85%	560	514.4
	F241111011	CC2409059	91.73%	840	770.5
	F240812033	CC2401019	92.01%	37.6	34.6
IKF24083	F241111012	CC2409060	91.84%	560	514.3
	F241111013	CC2409061	91.78%	840	771.0
	F240812033	CC2401019	92.01%	37.2	34.2
IKF24084	F241111014	CC2409062	91.86%	560	514.4
	F241111015	CC2409063	91.80%	840	771.1
	F240812033	CC2401019	92.01%	36.9	34.0
IKF24085	F241111016	CC2409064	91.86%	560	514.4
	F241111017	CC2409065	91.79%	840	771.0
	F240812033	CC2401019	92.01%	37	34.0
IKF24086	F241111018	CC2409066	91.82%	560	514.2
	F241111019	CC2409067	91.78%	840	771.0
	F240812033	CC2401019	92.01%	37.3	34.3
