Batch No. 	EA증류/분석			IKF-916 반응 분석					RINSE					건조시간				포장		제품 분석				
	CCIM	IKF-916	ISO-916	반응시간	내부온도	CCIM	IKF-916	ISO-916	CCIM-AM	CCIM	IKF-916	ISO-916	3C	건조시간	내부온도	수분	MeOH	생산량	수율	CCIM-AM	CCIM	IKF-916	ISO-916	3C
IKF24014	6.2	74.1	19.7	5:00	76.309	1.9	88.5	9.6	0.24	0.65	97.86	0	1.03	9:00	38.433	0.05	0.32	1800	91.425	0.01	0.1	98.8	0	1.02
IKF24014				6:30	75.231	3	90	7																
IKF24014				7:30	74.647	4.3	88.8	6.9																
IKF24014				8:10	74.736	3.4	92	4.5																
IKF24014																								
IKF24015	6.6	70.9	22.6	5:00	76.373	1.6	86.5	11.8	0.33	0.61	97.83	0	1.05	9:00	40.333	0.03	0.23	1700	86.343	0.02	0.11	98.76	0	1.04
IKF24015				6:30	75.036	2.3	89.9	7.8																
IKF24015				7:30	74.618	2.6	91.6	5.8																
IKF24015				8:10	74.373	3.4	90.1	6.5																
IKF24015				8:50	74.223	3.3	91.7	5																
IKF24016	8.9	75.6	15.5	5:00	77.335	4.8	88.3	6.9	0.29	0.84	97.69	0	0.95	9:00	42.026	0.07	0.16	1700	86.345	0.01	0.1	98.86	0	0.94
IKF24016				6:30	76.556	5.7	90.1	4.3																
IKF24016				7:20	75.662	6	89.9	4.1																
IKF24016																								
IKF24016																								
IKF24017	6.2	74.4	19.4	5:00	76.693	2.1	86.4	11.5	0.27	0.52	97.98	0	1.1	9:00	42.898	0.08	0.18	1800	91.42	0.01	0.09	98.74	0	1.08
IKF24017				6:30	74.583	2.5	90.3	7.1																
IKF24017				7:30	74.456	2.9	91.6	5.5																
IKF24017				8:10	74.429	3.1	91.8	5.1																
IKF24017				9:00	74.227	3.4	92.1	4.5																
IKF24018	6.1	74.2	19.8	5:00	76.689	1.8	87.7	10.5	0.35	0.83	97.54	0	1.08	10:00	42.584	0.09	0.15	1800	91.42	0.01	0.08	98.75	0	1.07
IKF24018				7:00	75.189	2.5	91.1	6.5																
IKF24018				8:00	75.061	2.8	92.2	5																
IKF24018				8:50	73.066	2.9	92.7	4.4																
IKF24018																								
IKF24019	6.4	73.7	19.9	5:00	77.631	1.9	85.5	12.6	0.41	1	97.34	0	1.07	9:00	42.251	0.07	0.17	1800	91.424	0.01	0.08	98.73	0	1.07
IKF24019				7:00	75.02	2.6	90.6	6.9																
IKF24019				8:00	74.742	2.73	92.4	5																
IKF24019																								
IKF24019																								
IKF24020	5.3	74	20	5:00	78.726	2	88.1	9.9	0.17	0.47	98.17	0	1.07	9:00	42.122	0.02	0.25	1800	91.423	0.01	0.07	98.73	0	1.1
IKF24020				7:00	74.572	2.6	92.3	5.1																
IKF24020				7:50	74.859	2.7	93	4.3																
IKF24020																								
IKF24020																								
IKF24021	5.2	78.1	16.7	5:00	77.639	2.2	89.6	8.2	0.12	0.64	98.1	0	1.03	9:00	37.201	0.05	0.28	1800	91.424	0.01	0.08	98.77	0	1.05
IKF24021				7:00	75.604	3.1	92.6	4.3																
IKF24021																								
IKF24021																								
IKF24021																								
IKF24022	6.4	72.8	20.8	5:00	77.183	2.9	88.8	8.4	0.19	0.57	98.03	0	1.06	9:00	43.532	0.12	0.23	1800	91.421	0	0.08	98.8	0	1.05
IKF24022				6:30	76.002	3.6	91.3	5.1																
IKF24022				7:20	61.145	3.9	91.5	4.6																
IKF24022																								
IKF24022																								
IKF24023	7.6	71	21.5	5:00	77.784	3	88.3	8.8	0.16	0.4	98.26	0	1.04	9:00	47.282	0.06	0.26	1700	86.343	0.01	0.08	98.78	0	1.03
IKF24023				6:30	76.738	3.6	91.5	4.9																
IKF24023																								
IKF24023																								
IKF24023																								
IKF24024	7.7	74.3	18	5:00	77.129	3.6	88.1	8.3	0.2	0.66	98.02	0	0.99	9:00	45.289	0.07	0.32	1700	86.345	0.01	0.07	98.87	0	0.99
IKF24024				6:30	76.384	4.3	90.9	4.8																
IKF24024																								
IKF24024																								
IKF24024																								
IKF24025	5.7	74.4	19.9	5:00	76.575	2.5	88.2	9.3	0.21	0.55	98.06	0	1.03	9:00	45.677	0.11	0.27	1800	91.422	0	0.08	98.85	0	1.01
IKF24025				6:30	75.305	3.9	89.2	6.9																
IKF24025				7:30	75.617	3.3	92.4	4.3																
IKF24025																								
IKF24025																								
IKF24026	4.9	73.5	21.6	5:00	76.772	2.8	88.5	8.7	0.02	0.79	98.08	0.09	0.96	9:00	47.064	0.09	0.13	1700	86.34	0.01	0.08	98.86	0	0.97
IKF24026				6:30	75.872	3.4	91.4	5.2																
IKF24026				7:20	76.332	4	91.5	4.6																
IKF24026																								
IKF24026																								
IKF24027	6.1	72.7	21.2	5:00	76.193	2.3	87.1	10.5	0.09	0.62	98.17	0	0.98	9:00		0.1	0.27	1700	86.345	0.01	0.08	98.85	0	0.98
IKF24027				6:30	76.441	2.9	91.1	6																
IKF24027				7:20	76.209	3.4	91.2	5.4																
IKF24027				8:10	76.785	3.5	92	4.5																
IKF24027																								
IKF24028	4.8	75.2	20	5:00	76.498	1.8	88	10.2	0.25	0.77	97.76	0	1.07	9:00	42.706	0.15	0.2	1800	91.425	0.01	0.09	98.59	0	1.17
IKF24028				6:30	75.149	2.3	91.9	5.8						10:30	35.953	0.07								
IKF24028				7:10	74.55	2.6	92.5	4.9																
IKF24028																								
IKF24028																								
IKF24029	5.8	73.9	20.3	5:00	78.343	1.7	88.3	10	0.23	0.75	97.79	0	1.09	9:00	27.601	0.19	0.3	1800	91.422	0.01	0.1	98.68	0	1.11
IKF24029				6:30	75.225	2	91.8	6.2						10:00	38.592	0.11								
IKF24029				7:30	74.333	2.4	92.4	5.2																
IKF24029																								
IKF24029																								
IKF24030	6.7	70	23.4	5:00	75.959	2.2	87.2	10.6	0.2	0.53	98.08	0	1.02	9:30	38.772	0.09	0.26	1800	91.415	0.01	0.09	98.8	0	1.02
IKF24030				6:30	75.212	4.2	86.4	9.4																
IKF24030				7:30	74.391	3.6	89.8	6.6																
IKF24030				32:30:00		3.3	92.1	4.6																
IKF24030																								
IKF24031	4.1	75.5	20.5	5:00	79.045	1.6	87.9	10.5	0.19	0.5	98.1	0	1.09	9:00	38.538	0.16	0.28	1800	91.453	0.01	0.09	98.73	0	1.07
IKF24031				7:00	75.53	1.6	91.8	6.6						10:00	41.34	0.09								
IKF24031				8:00	75.496	2.8	91.6	5.6																
IKF24031				9:00	61.602	2.8	92.9	4.2																
IKF24031																								
IKF24032	6.6	70.6	22.8	5:00	77.677	2.6	87	10.5	0.2	0.57	97.88	0.11	1.09	9:00	41.531	0.1	0.24	1800	91.426	0.01	0.09	98.75	0	1.03
IKF24032				7:00	75.278	3.7	88	8.3																
IKF24032				8:00	75.023	3.7	91.5	4.8																
IKF24032																								
IKF24032																								
IKF24033	6.9	78	15.1	5:00	78.071	3.3	88.2	8.5	0.25	0.63	98.07	0	0.95	9:00	47.55	0.05	0.13	1800	91.423	0.01	0.19	98.75	0	0.97
IKF24033				6:30	75.702	4.1	90.7	5.2																
IKF24033				7:30	74.923	4.3	91.4	4.3																
IKF24033																								
IKF24033																								
IKF24034	5.7	75.3	19	5:00	76.93	2.1	89.1	8.8	0.23	0.64	98.03	0	1	9:00	48.17	0.03	0.16	1700	86.346	0.01	0.1	98.8	0	1.01
IKF24034				7:00	75.217	3.1	91.7	5.2																
IKF24034				8:00	60.094	3.5	92.2	4.3																
IKF24034																								
IKF24034																								
IKF24035	4.5	75.7	19.9	5:00	78.049	2	89.5	8.5	0.23	0.7	97.94	0	1.02	8:50	47.509	0.05	0.17	1800	91.421	0.01	0.09	98.76	0	1.04
IKF24035				7:00	75.948	2.8	92.5	4.7																
IKF24035																								
IKF24035																								
IKF24035																								
IKF24036	7.6	73.6	18.8	5:00	78.94	3.8	88.7	7.5	0.63	0.56	97.72	0	0.92	9:00	49.312	0.03	0.09	1600	81.262	0.02	0.07	98.89	0	0.92
IKF24036				7:00	75.502	4.6	91.2	4.2																
IKF24036																								
IKF24036																								
IKF24036																								
IKF24037	9.1	72.4	18.5	5:00	78.507	4.8	88.5	6.6	0.41	0.67	97.9	0	0.85	9:00	46.742	0.01	0.08	1700	86.342	0.02	0.07	99	0	0.85
IKF24037				6:30	76.48	6.4	88.8	4.8																
IKF24037																								
IKF24037																								
IKF24037																								
IKF24038	8.1	72.8	19	5:00	78.662	4.1	87.8	8.1	0.4	0.59	97.94	0	0.91	10:00	45.377	0.02	0.12	1600	81.27	0.02	0.06	98.94	0	0.9
IKF24038				7:00	75.763	5.4	90.1	4.5																
IKF24038																								
IKF24038																								
IKF24038																								
IKF24039	7.1	73.3	19.6	5:00	80.071	4.3	87.5	8.2	0.47	0.67	97.91	0	0.89	10:30	33.909	0.1	0.21	1700	86.35	0.02	0.07	98.95	0	0.89
IKF24039				7:00	75.794	5.4	90.1	4.5																
IKF24039																								
IKF24039																								
IKF24039																								
IKF24040	8.7	76.1	15.2	5:00	76.8	4.1	83.4	12.4	0.38	0.55	98.03	0	0.86	9:40	32.352	0.05	0.13	1700	86.343	0.02	0.08	98.94	0	0.84
IKF24040				6:30	75.902	5.9	89.6	4.5																
IKF24040				7:10	75.292	5.9	89.8	4.2																
IKF24040																								
IKF24040																								
IKF24041	6.6	75.9	17.5	5:00	76.97	3.2	89.5	7.3	0.35	0.56	98.05	0	0.93	9:00	35.518	0.07	0.14	1600	81.264	0.01	0.07	98.86	0	0.95
