배치번호	반응/증류/결정화/포장								반응/증류/결정화/포장							반응/증류/결정화/포장										반응/증류/결정화/포장			반응/증류/결정화/포장						반응/증류/결정화/포장									반응/증류/결정화/포장	반응/증류/결정화/포장		반응/증류/결정화/포장														반응/증류/결정화/포장									반응/증류/결정화/포장	반응/증류/결정화/포장												
	원료투입								승온/DMSC 적가							EA증류/분석										EA증류/반응/샘플링			원료투입						Reflux/이송									결정화	여과		RINSE1														RINSE2									건조	포장												
	투입량[K2CO3(P)]	원료 투입 시작	투입량[EtOAc]	투입량[D-EA]	CCIM 투입량 합계[CCIM]	CCIM 순수량 합계	CCIM 평균 순도	원료 투입 시간	승온 시간	Reflux 시간	적가 시작 내부온도	DMSC 투입량 합계[DMSC]	Taverage	적가 종료 내부온도	DMSC 적가 시간	투입량[EtOAc]	투입량[D-EA]	EA 상압증류 시간	샘플링 시각	CCIM	IKF-916	ISO-916	투입량[K2CO3(P)]	DMSC 투입량 합계[DMSC]	원료 투입 시간	EA 진공증류 시간	반응/샘플링 시간	Sub total 시간	원료 투입 시작 내부온도	투입량[D-EA]	투입량[EtOAc]	투입량[H2O]	원료 투입 종료 내부온도	원료 투입 시간	승온 시작 내부온도	승온 시간	Reflux 시작 내부온도	Reflux 시간	CW 냉각 시작 내부온도	CW 냉각 시간	이송 시작 내부온도	이송 시간	Sub total 시간	BR 냉각 시간	투입량[H2O]	여과/탈액 시간	투입량[H2O]	1차 H2O Rinse 시간	투입량[H2O]	2차 H2O Rinse 시간	투입량[D-MeOH]	투입량[MeOH]	투입량[NaOH 25%]	투입량[H2O]	MeOH Rinse 시간	CCIM-AM	CCIM	IKF-916	ISO-916	3C	투입량[D-MeOH]	투입량[MeOH]	투입량[NaOH 25%]	투입량[H2O]	Repulping 시간	투입량[D-MeOH]	투입량[MeOH]	MeOH Rinse 시간	Sub total 시간	건조 시간	이전 Batch 잔량	총 포장량	NET 수량	현 Batch 잔량	현 Batch 생산량	포장 시간	수율	CCIM-AM	CCIM	IKF-916	ISO-916	3C	Total 시간
IKF23123	950.0	2023-11-02 14:30		2,640.0	1,432.3	1,319.526	92.126	00:30	01:00	01:00	80.1	1,000.0	77.7	78.0	00:30	500.0		01:30	2023-11-02 19:00	7.6	74.0	18.5		100.0	00:20	02:30	02:45	10:35	75.7	1,070.0		3,000.0	32.0	00:30	50.3	01:00	67.3	01:00	72.1	04:35	40.0	00:40	07:45	02:00	800.0	01:50	2,000.0	01:00	2,000.0	01:00	1,040.0		38.0		01:40	0.27	0.8	97.65	0.0	1.01	2,930.0		4.2		02:10		1,300.0	02:50	10:30	09:40		1,800.0	1,800.0		1,800.0	01:00	91.421	0.02	0.1	98.71	0.0	1.03	41:30
IKF23124	950.0	2023-11-03 14:30		2,640.0	1,432.8	1,319.511	92.093	00:30	01:00	01:00	82.4	1,000.0	80.5	78.0	00:30	500.0		01:30	2023-11-03 19:00	4.6	72.3	23.1		100.0	00:20	02:30	07:40	15:30	74.9	1,070.0		3,000.0	31.6	00:40	31.3	01:00	67.7	01:00	72.1	02:10	41.4	00:30	05:20	01:00	800.0	02:00	2,000.0	01:30	2,000.0	00:50	1,040.0		38.0		01:00	0.24	0.76	97.56	0.0	1.09	2,930.0		4.2		01:40		1,300.0	03:00	10:00	10:00		1,800.0	1,800.0		1,800.0	01:00	91.422	0.02	0.13	98.56	0.11	1.15	42:50
IKF23125	950.0	2023-11-04 14:30		2,640.0	1,432.2	1,319.49	92.13	00:30	01:00	01:00	83.1	1,000.0	78.8	77.9	00:30	500.0		01:30	2023-11-04 19:00	5.8	74.0	20.2		100.0	00:10	02:40	03:25	11:15	75.2	1,070.0		3,000.0	33.6	00:30	33.1	00:55	67.6	01:00	72.0	04:10	41.9	00:30	07:05	02:00	800.0	01:50	2,000.0	00:40	2,000.0	01:10	1,040.0		38.0		01:10	0.21	0.51	97.83	0.0	1.09		2,930.0	4.2		01:40		1,300.0	03:00	09:30	10:10		1,800.0	1,800.0		1,800.0	00:50	91.423	0.02	0.02	98.5	0.0	1.1	40:50
IKF23126	950.0	2023-11-05 14:30		2,640.0	1,431.5	1,319.544	92.179	00:30	01:00	01:00	82.5	1,000.0	81.1	78.5	00:30	500.0		01:30	2023-11-05 19:00	4.6	74.7	20.7		100.0	00:05	02:40	03:50	11:35	76.8	1,070.0		3,000.0	34.9	00:40	34.7	02:00	69.1	01:00	72.2	02:30	42.1	00:50	07:00	03:20	800.0	02:20	2,000.0	01:00	2,000.0	01:00	1,040.0		38.0		01:00	0.18	0.53	98.02	0.0	1.04	2,930.0		4.2		01:50		1,300.0	03:00	10:10	10:00		1,800.0	1,800.0		1,800.0	01:00	91.419	0.02	0.1	98.7	0.0	1.06	43:05
IKF23127	950.0	2023-11-07 14:30		2,640.0	1,431.3	1,319.472	92.187	00:30	01:00	01:00	82.5	1,000.0	80.1	77.4	00:30	500.0		01:30	2023-11-07 19:00	5.4	77.7	16.9		100.0	00:10	02:40	02:50	10:40	76.2	1,070.0		3,000.0	29.9	00:35	30.1	02:10	70.2	01:00	71.2	04:00	40.8	01:00	08:45	03:00	800.0	01:50	2,000.0	01:00	2,000.0	01:00	1,040.0		38.0		01:10	0.2	0.51	98.01	0.0	1.06	2,930.0		4.2		02:00		1,300.0	03:00	10:00	10:00		1,800.0	1,800.0		1,800.0	01:00	91.424	0.02	0.09	98.69	0.0	1.05	43:25
IKF23128	950.0	2023-11-12 14:30		2,640.0	1,431.8	1,319.541	92.16	00:30	01:00	01:00	82.2	1,000.0	79.0	75.1	00:30		500.0	01:30	2023-11-12 19:00	10.8	68.2	21.1		125.0	00:00	01:40	02:40	09:20	75.1	1,070.0		3,000.0	28.0	00:25	29.3	01:10	68.1	01:00	72.2	02:50	37.0	00:30	05:55	06:50	800.0	02:30	2,000.0	01:00	2,000.0	01:00	1,040.0		38.0		01:20	0.33	0.61	97.71	0.0	1.01	2,930.0		4.2		02:40		1,300.0	02:30	11:00	09:00		1,900.0	1,900.0		1,900.0	00:50	96.498	0.03	0.12	98.68	0.0	1.01	42:55
IKF23128H1																												0															0																										0			125.0	125.0		125.0	01:00							01:00
IKF24001	950.0	2024-03-26 14:30		2,640.0	1,442.5	1,319.526	91.475	00:30	01:00	01:00	82.5	1,000.0	82.1	80.9	00:30	500.0		01:30	2024-03-26 19:00	4.4	81.3	14.3		83.0	00:10	02:30	03:00	10:40	76.2	1,070.0		3,000.0	26.1	00:30	26.5	01:30	68.4	01:00	71.9	03:20	40.2	01:00	07:20	04:10	800.0	02:20	2,000.0	01:00	2,000.0	01:00		1,040.0	38.0		01:00	0.21	0.87	97.73	0.0	0.99		2,930.0	4.2		01:50		1,300.0	02:10	09:20	09:30		1,600.0	1,600.0		1,600.0	01:00	81.263	0.01	0.08	98.86	0.0	0.96	42:00
IKF24002	950.0	2024-03-27 14:30	2,640.0		1,441.4	1,319.463	91.54	00:30	01:00	01:00	83.7	1,000.0	80.4	77.1	00:30	500.0		01:30	2024-03-27 19:00	7.9	73.6	18.5		100.0	00:10	02:30	02:50	10:30	60.2	1,070.0		3,000.0	29.0	00:40	28.7	01:30	70.3	01:00	72.6	03:30	40.4	01:30	08:10	03:30	800.0	02:10	2,000.0	01:00	2,000.0	01:00	1,040.0		38.0		01:00	0.3	0.43	98.31	0.0	0.85	2,930.0		4.2		01:50		1,300.0	01:50	08:50	09:00		1,600.0	1,600.0	75.0	1,675.0	01:00	85.076	0.01	0.1	98.96	0.0	0.85	41:00
IKF24003	950.0	2024-03-28 14:30		2,640.0	1,435.8	1,319.478	91.898	00:30	01:00	01:00	81.9	1,000.0	79.3	76.0	00:30	500.0		01:30	2024-03-28 19:00	6.4	73.0	20.6		83.0	00:10	02:30	02:00	09:40	75.8	1,070.0		3,000.0	26.3	00:30	26.3	01:40	68.5	01:00		04:20	37.8	01:00	08:30	05:00	800.0	02:20	2,000.0	01:00	2,000.0	01:00	1,040.0		38.0		01:00	0.3	0.39	98.27	0.0	0.94	2,930.0		4.2		01:50		1,300.0	01:50	09:00	10:30		1,700.0	1,700.0		1,700.0	01:00	86.345	0.02	0.09	98.12	0.0	0.92	43:40
IKF24004	950.0	2024-03-31 14:30		2,640.0	1,432.3	1,319.498	92.124	00:30	01:00	01:00	82.1	1,000.0	80.3	77.1	00:30	500.0		01:30	2024-03-31 19:00	7.4	71.9	20.8		100.0	00:20	02:30	02:30	10:10	75.6	1,070.0		3,000.0	41.3	00:30	45.5	01:30	70.4	01:00	72.2	03:40	35.5	00:40	07:20	04:40	800.0	02:00	2,000.0	01:30	2,000.0	01:00	1,040.0		38.0		01:00	0.23	0.41	98.26	0.0	1.01	2,930.0		4.2		02:10		1,300.0	02:20	10:00	09:50		1,800.0	1,800.0		1,800.0	01:00	91.423	0.02	0.09	98.84	0.0	0.99	43:00
IKF24005	950.0	2024-04-01 14:30		2,640.0	1,432.4	1,319.451	92.115	00:30	01:00	01:00	82.5	1,000.0	79.5	76.5	00:30	500.0		01:30	2024-04-01 19:00	7.1	73.0	20.0		100.0	00:20	02:30	02:30	10:20	75.7	1,070.0		3,000.0	37.8	00:30	41.2	01:20	69.9	01:00		03:40	33.9	00:40	07:10	03:40	800.0	02:00	2,000.0	01:00	2,000.0	01:00	1,040.0		38.0		01:00	0.16	0.31	98.47	0.0	0.96	2,930.0		4.2		02:10		1,300.0	02:00	09:10	09:50		1,800.0	1,800.0		1,800.0	01:00	91.426	0.01	0.09	98.85	0.0	0.96	41:10
IKF24006	950.0	2024-04-02 14:30		2,640.0	1,433.0	1,319.472	92.078	00:30	01:00	01:00	82.8	1,000.0	78.2	74.5	00:30	500.0		01:30	2024-04-02 19:00	9.6	71.1	19.9		100.0	00:20	02:30	02:20	10:10	60.5	1,070.0	0.0	3,000.0	63.0	00:20	62.9	01:30	69.5	01:00		03:50	38.3	00:40	07:20	03:30	800.0	02:00	2,000.0	01:00	2,000.0	01:00	1,040.0	0.0	38.0	0.0	01:00	0.19	0.42	98.39	0.0	0.91	2,930.0	0.0	4.2	0.0	02:10		1,300.0	02:20	09:30	09:50		1,800.0	1,800.0		1,800.0	01:00	91.424	0.01	0.09	98.91	0.0	0.91	41:20
IKF24007	950.0	2024-04-03 14:20		2,640.0	1,432.8	1,319.516	92.094	00:40	01:00	01:00	81.9	1,000.0	79.7	77.5	00:30	500.0		01:30	2024-04-03 19:00	8.2	71.3	20.5	0.0	110.0	00:20	02:30	02:30	10:40	75.0	1,070.0		3,000.0	29.9	00:30	31.3	01:20	69.9	01:00		03:40	34.8	00:40	07:10	05:40	800.0	02:00	2,000.0	01:00	1,900.0	01:00	1,040.0		38.0		01:00	0.17	0.4	98.38	0.0	0.97	2,930.0		4.2		02:20		1,300.0	02:20	09:40	10:40	0.0	1,800.0	1,800.0	0.0	1,800.0	00:30	91.421	0.01	0.09	98.88	0.0	0.97	44:20
