Year,Month,Code,Name,Unit,Finished,Substance_1,Substance_2,Complex,QC,Supporting
21,5,302481,구연산무수(99.5%이상),kg,,,,,,
21,5,302520,PFA Tubing(EW-06371-04),EA,,,,,,
21,5,302521,PFA Tubing(RZ-06375-02),EA,,,,,,
21,5,302530,Opticap XL4 Capsule Filter(KTGRA04TT3),EA,,,,,,
21,5,302572,Millex-FG Filter(MTGR85000),EA,,,,,,
21,5,302573,C-Flex Tubing(072-313-3),EA,,,,,,
21,5,302620,CTGR75S01 Millipore Filter,EA,,,,,,
21,5,302621,KVGB04TC3 Milliporre Filter,EA,,,,,,
21,5,302622,CTGB72TP3 Millipore Filter,EA,,,,,,
21,5,302623,AB05PFR7PVH4 Pall Filter,EA,,,,,,
21,5,302690,액체 세제 (액츠 무진복 세탁용),EA,,5,,,,
21,5,302774,Aervent 20' Cartridge Filter CTGR72TP1,EA,,,,,,
21,5,302780,H2O2 for HPV,EA,,,,,,
21,5,302880,Sartfluor GA,EA,,,,,,
21,5,302881,Sartfluor junior,EA,,,,,,
21,5,302882,SP Sephadex C50 자가,g,,,,,,
21,5,303090,테크세제,EA,,,1,,,
21,5,302841,72B/A4 Clean paper,EA,,,,,,
21,5,200522,화이버 드럼,EA,,,,32,,
21,5,106602,보위딕 테스트 팩(Terragene),EA,40,10,3,,,
21,5,302255,필터 (PFY2UY300J),EA,,,,,,
21,5,302571,Sartofluor Filter(5185307T8),EA,,,,,,
21,5,302151,Sartoclean CA 20',EA,,,,,,
21,5,302257,필터 (PFY1J012J),EA,,,,,,
21,5,302914,Sterile Filter(KA3EKVP10.2um),EA,,,,,,
21,5,300953,킴텍스(50×70×1),EA,,,,,,
21,5,302321,훈증액 MINNACARE COLD STERILANT,BT,,,,,,
21,5,302254,필터 (MBS1002RJH2),EA,,,,,,
21,5,103638,밀리팩200(MPGL2GCL3),EA,,,4,,,
21,5,102141,SARTOBRAN P 10' Filter,EA,,,2,,,
21,5,100351,Filter SARTOPURE PP2,EA,,,,,,
21,5,303031,DECON-SPORE 200 Plus(0.4%)472mL 자가,EA,,15,12,,,
21,5,303034,Decon-cycle (Disinfectant)472mL 자가,EA,,4,,,6,
21,5,303038,DECON-SPORE200Plus(0.4% )Gallon siz자가,EA,24,8,4,,,
21,5,303041,Decon-cycle(Disinfectant)Gallonsize자가,EA,28,,2,,,
21,5,303036,70% IPA 472mL 자가,EA,144,44,35,,15,24
21,5,303060,70% IPA Gallon size 자가,EA,,,,,,
21,5,303033,5% Decon-spore (Sporicide)472mL 자가,EA,30,2,,,,
21,5,303039,5% Decon-spore(Sporicide)Gallon size자가,EA,2,1,,,,
21,5,303035,Hypo-chlor (Sporicide)472mL 자가,EA,,,,,,
21,5,303040,Hypo-chlor (Sporicide) Gallon size 자가,EA,,,,,,
21,5,303080,70% IPA Dispenser용(자동분무기용),EA,14,,,,,1
21,5,102990,Filter Unit 1L 자가(Bottle top),EA,35,,10,,,
21,5,100136,트립신에데트산나트륨,mL ,,,,,,
21,5,107225,멸균백 580*900mm,EA,,250,,,,
21,5,106156,Opticap XL2 Capsule Filter(KGW6A02FF3),EA,,,,,,
21,4,100130,디메티콘 유제 35% 자가,g,15990,,,,,
21,4,105521,TSB(Non animal origin) 자가,BT,,,,,,
21,4,105944,20L Glass bottle(screw),EA,,,,,,
21,4,105996,멸균백1200*1200mm,EA,,,,,,
21,4,105998,멸균백400*500mm,EA,,,200,,,
21,4,106159,Durapore Opticap XL4 (KVGLA04TT3),EA,,,,,,
21,4,300006,퐁퐁,EA,,,,,3,1
21,4,300009,Sartofluor GA 10',EA,,,1,,,
21,4,300010,Sartofluor GA 20',EA,,,,,,
21,4,300011,Sartofluor Mini,EA,,1,,,,
21,4,302000,수산화나트륨(퀴놀론1KG),kg,,,,14,,
21,4,LMSM00007C,수산화나트륨 자가 (1kg),kg,59.988,,,,,
21,4,302060,AGP Solution Kit,EA,,,,,,
21,4,302101,5mL PC Validation Vial,EA,,,,,,
21,4,302102,Autoclave Indicator. Sigmaware,EA,,,,,,
21,4,302103,Hi Temperature Indicator(Shamrock)(건열),EA,2,,,,,
21,4,302104,Chemical Indicator 1250 (3M),EA,2,,,,,
21,4,302109,락스 (럭키),EA,,2,2,,,
21,4,302122,염화나트륨(수지 재생용) 자가,kg,,,,,,
21,4,302123,펌프 튜빙(Masterflex L/S 16),EA,11,,4,,,
