Date,Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2022-07-19,pm 12:09:30,92.08,94.41,91.67,91.85,94.16,92.27,93.15,92.64,92.09,92.36,91.47,92.74,91.9,93.3,93.74,95.56,94.46
2022-07-19,pm 12:09:40,95.53,96.9,95.4,95.27,97.17,95.72,95.73,96.08,95.37,95.85,95.05,96.17,95.43,95.98,96.43,97.82,96.76
2022-07-19,pm 12:09:50,98.31,99.21,98.24,98.07,99.6,98.46,98.21,98.74,98.14,98.56,97.9,98.81,98.18,98.34,98.71,99.81,98.84
2022-07-19,pm 12:10:00,100.61,101.29,100.57,100.39,101.77,100.72,100.45,100.98,100.44,100.83,100.25,101.07,100.48,100.49,100.85,101.63,100.84
2022-07-19,pm 12:10:10,102.7,103.28,102.66,102.49,103.73,102.78,102.51,103.02,102.51,102.89,102.36,103.1,102.56,102.52,102.88,103.42,102.83
2022-07-19,pm 12:10:20,104.57,105.1,104.54,104.38,105.51,104.65,104.39,104.86,104.39,104.74,104.26,104.93,104.42,104.37,104.72,105.16,104.67
2022-07-19,pm 12:10:30,106.27,106.75,106.25,106.09,107.13,106.34,106.1,106.54,106.1,106.43,105.99,106.6,106.13,106.06,106.4,106.66,106.35
2022-07-19,pm 12:10:40,107.84,108.27,107.82,107.67,108.63,107.91,107.69,108.1,107.68,107.98,107.57,108.14,107.71,107.62,107.95,108.08,107.9
2022-07-19,pm 12:10:50,109.26,109.64,109.24,109.1,109.97,109.31,109.11,109.49,109.09,109.38,109.01,109.53,109.12,109.04,109.35,109.47,109.31
2022-07-19,pm 12:11:00,110.56,110.91,110.54,110.4,111.22,110.61,110.43,110.77,110.4,110.67,110.33,110.8,110.44,110.36,110.64,110.77,110.61
2022-07-19,pm 12:11:10,111.78,112.1,111.76,111.62,112.39,111.82,111.65,111.97,111.61,111.88,111.55,112.01,111.65,111.58,111.85,111.96,111.82
2022-07-19,pm 12:11:20,112.92,113.22,112.9,112.76,113.5,112.95,112.8,113.1,112.76,113.01,112.7,113.13,112.79,112.73,112.98,113.08,112.95
2022-07-19,pm 12:11:30,113.98,114.27,113.97,113.84,114.54,114.02,113.87,114.16,113.84,114.07,113.79,114.19,113.87,113.81,114.04,114.14,114.02
2022-07-19,pm 12:11:40,114.99,115.27,114.98,114.86,115.51,115.03,114.89,115.17,114.86,115.08,114.81,115.19,114.89,114.83,115.04,115.14,115.03
2022-07-19,pm 12:11:50,115.95,116.2,115.93,115.82,116.44,115.98,115.85,116.11,115.81,116.03,115.77,116.13,115.85,115.78,115.99,116.08,115.97
2022-07-19,pm 12:12:00,116.85,117.09,116.84,116.73,117.32,116.88,116.76,117,116.72,116.93,115.94,117.03,116.76,116.69,116.89,116.98,116.88
2022-07-19,pm 12:12:10,117.71,117.94,117.71,117.6,118.16,117.74,117.62,117.86,117.59,117.78,117.55,117.89,117.62,117.56,117.75,117.84,117.74
