기기 이름:		HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140
기기 설명		온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거
일련 번호:		P86635	P86737	P86733	P86729	P86746	P86735	P86738	P86739	P86731	P86744	P86732	P86648	P86740	P86741	P86637	P86650	P86727
기기 ID:		MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel
																		
		채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1
날짜	시간	온도 (°C)	온도 (°C)	온도 (°C)	온도 (°C)	온도 (°C)	온도 (°C)	온도 (°C)	온도 (°C)	온도 (°C)	온도 (°C)	온도 (°C)	온도 (°C)	온도 (°C)	온도 (°C)	온도 (°C)	온도 (°C)	온도 (°C)
2022-07-19	pm 12:05:00	93.72	94.76	93.63	93.41	95.51	93.89	93.31	94.37	93.45	94.11	93.22	94.46	93.62	93.54	94.17	94.66	94.03
2022-07-19	pm 12:05:10	96.84	97.69	96.79	96.56	98.32	96.98	96.51	97.36	96.6	97.15	96.38	97.44	96.71	96.55	97.14	97.5	97.01
2022-07-19	pm 12:05:20	99.44	100.18	99.42	99.2	100.72	99.56	99.18	99.89	99.24	99.71	99.05	99.97	99.31	99.15	99.68	99.95	99.57
2022-07-19	pm 12:05:30	99.01	99.74	98.73	98.74	97.36	99.09	98.94	98.3	99.58	98.29	98.73	97.9	98.91	99.63	99.42	100.67	99.55
2022-07-19	pm 12:05:40	97.39	97.84	94.65	95.68	95.9	97.25	96.37	94.83	97.94	94.87	96.34	93.59	96.33	98.21	97.36	98.95	98.2
2022-07-19	pm 12:05:50	95.27	95.45	90.64	93.81	94.05	95.26	94.38	93.31	95.73	93.27	94.43	90.95	93.94	96.13	95	96.56	96.25
2022-07-19	pm 12:06:00	93.04	93.08	87.78	91.74	92.05	93.03	92.04	91.33	93.34	91.36	92.26	89.38	91.54	94.07	92.76	94.09	94.09
2022-07-19	pm 12:06:10	91.1	91.09	85.26	89.89	90.42	90.97	89.87	89.48	91.16	89.47	90.25	87.41	89.49	92.17	90.67	92.02	92.03
2022-07-19	pm 12:06:20	89.53	89.55	82.93	88.34	89.34	89.36	88.37	88.09	89.49	87.95	88.67	85.49	87.9	90.56	89.02	90.53	90.45
2022-07-19	pm 12:06:30	88.4	88.49	81.03	87.31	88.46	88.24	87.24	87.18	88.27	86.92	87.51	84.1	86.84	89.32	87.91	89.32	89.43
2022-07-19	pm 12:06:40	87.57	87.82	79.53	86.64	87.85	87.4	86.44	86.49	87.34	86.26	86.57	83.06	86.27	88.4	87.27	88.5	88.76
2022-07-19	pm 12:06:50	86.92	87.39	78.47	86.16	87.5	86.7	85.93	85.96	86.64	85.79	85.79	82.23	85.85	87.69	86.78	87.97	88.26
2022-07-19	pm 12:07:00	86.44	87.12	77.7	85.87	87.25	86.12	85.6	85.48	86.17	85.43	85.24	81.89	85.59	87.18	86.48	87.6	87.88
2022-07-19	pm 12:07:10	86.05	86.95	77.2	85.7	87.31	85.69	85.44	85.09	85.88	85.16	84.84	81.8	85.45	86.78	86.26	87.37	87.56
2022-07-19	pm 12:07:20	85.77	86.86	76.8	85.63	87.39	85.42	85.4	84.84	85.63	84.92	84.58	81.66	85.36	86.5	86.17	87.26	87.4
2022-07-19	pm 12:07:30	85.58	86.78	76.51	85.61	87.35	85.2	85.38	84.71	85.54	84.76	84.36	81.61	85.29	86.33	86.16	87.17	87.33
2022-07-19	pm 12:07:40	85.43	86.78	76.31	85.55	87.36	85.08	85.55	84.57	85.41	84.55	84.16	81.45	85.12	86.24	86.18	87.14	87.25
2022-07-19	pm 12:07:50	85.3	86.78	76.23	85.54	87.59	84.89	85.7	84.36	85.16	84.44	83.99	81.27	85.08	86.19	86.29	87.12	87.29
2022-07-19	pm 12:08:00	85.21	86.84	76.29	85.56	87.63	84.75	85.84	84.2	85.09	84.31	83.89	81.24	85.06	86.23	86.36	87.14	87.34
