기기 이름:		HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140
기기 설명		온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거
일련 번호:		P86635	P86737	P86733	P86729	P86746	P86735	P86738	P86739	P86731	P86744	P86732	P86648	P86740	P86741	P86637	P86650	P86727
기기 ID:		MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel
																		
		채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1
Date	Time	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
2022-07-20	am 10:48:20	98.66	98.3	97.58	97.56	98.31	98.2	98.01	99.08	98.27	97.22	98.75	98.34	97.71	97.88	98.22	98.07	98.29
2022-07-20	am 10:48:30	98.71	98.36	97.61	97.6	98.36	98.24	97.28	99.14	98.32	97.3	98.79	98.38	97.76	97.94	98.27	98.12	98.34
2022-07-20	am 10:48:40	98.79	98.42	97.68	97.65	98.45	98.31	97.11	99.23	98.38	97.37	98.84	98.47	97.78	98	98.34	98.16	98.38
2022-07-20	am 10:48:50	98.86	98.47	97.76	97.73	98.55	98.4	94.16	99.3	98.48	97.35	98.91	98.56	97.86	98.06	98.43	98.23	98.4
2022-07-20	am 10:49:00	98.27	98.33	97.32	97.64	97.32	98.39	105.29	99.2	98.49	96.33	98.32	97.67	97.78	97.49	98.29	97.39	98.34
2022-07-20	am 10:49:10	96.04	96.35	95.31	96.13	94.6	96.86	98.74	97.4	97.03	94.16	96.28	95.07	96.11	95.34	96.51	94.98	96.73
2022-07-20	am 10:49:20	93.33	93.44	92.47	93.51	91.8	94.1	92.88	94.43	94.34	91.57	93.61	92.5	93.42	92.77	93.81	92.13	93.79
2022-07-20	am 10:49:30	90.92	90.89	90.52	91.15	90.01	91.54	91.44	91.87	91.84	89.46	91.54	90.84	91.05	90.69	91.63	89.98	90.95
2022-07-20	am 10:49:40	89.45	89.55	89.11	89.52	89.01	89.88	90.28	90.39	90.11	88.11	90.17	89.82	89.49	89.26	90.25	88.69	89.09
2022-07-20	am 10:49:50	88.84	88.63	88.39	88.62	88.54	88.93	89.16	89.55	89	87.32	89.53	89.37	88.69	88.55	89.49	87.95	88.08
2022-07-20	am 10:50:00	88.65	88.19	88.11	88.03	88.6	88.43	90.27	89.21	88.33	87.28	89.27	89.14	88.18	88.32	89.27	87.78	87.74
2022-07-20	am 10:50:10	88.67	88.05	88.13	87.85	88.82	88.29	88.5	89.2	88.16	87.43	89.29	89.01	87.78	88.38	89.38	87.79	87.88
2022-07-20	am 10:50:20	89.25	88.15	88.5	87.9	90.48	88.41	88.66	89.49	88.18	88.44	89.7	89.83	87.58	88.94	89.75	89.01	88.15
2022-07-20	am 10:50:30	94.41	92.2	92	90.82	96.81	90.57	91.99	90.43	91.09	94.52	94.2	95.94	91.23	93.64	92.99	95	91.52
2022-07-20	am 10:50:40	99.06	97.24	93.83	96.05	100.71	95.87	94.99	94.08	96.94	99.74	99.05	100.83	94.38	98.65	97.49	98.76	95.59
2022-07-20	am 10:50:50	102.16	100.81	94.99	99.48	102.63	99.82	100.44	98.67	101.65	102.44	102.47	103.7	98.09	102.05	99.99	101.67	98.49
2022-07-20	am 10:51:00	103.47	103.07	97.29	99.5	102.68	102.66	104.58	102.02	104.01	103.21	104.08	104.73	101.99	103.55	101.39	103.48	100.91
2022-07-20	am 10:51:10	101.86	103.16	94.68	98.54	99.4	103.32	105.4	102.91	104.29	100.9	103.23	103.15	102.87	102.24	100.81	102.1	101.84
2022-07-20	am 10:51:20	100.15	101.17	91.33	96.78	96.61	101.31	101.11	100.95	102.46	98.81	101.31	100.88	100.74	100.16	98.75	99.52	100.29
2022-07-20	am 10:51:30	98.64	99.17	88.41	94.57	94.09	98.76	98.69	98.17	100.26	96.59	99.63	98.85	97.88	97.56	95.34	97.26	98.43
2022-07-20	am 10:51:40	97.41	97.65	86.45	91.58	90.94	96.73	99.14	96.11	98.44	93.41	98.23	97.44	96.06	91.88	94.55	95.79	96.93
2022-07-20	am 10:51:50	96.54	96.8	85.11	87.72	89.92	95.34	97.56	95.33	97.19	91.15	97.14	96.57	94.51	90.1	94.2	94.96	96.04
2022-07-20	am 10:52:00	95.9	96.56	84.18	85.56	88.86	94.56	96.64	94.71	96.51	90.36	96.4	96.1	93.83	90.85	94.21	94.49	95.58
2022-07-20	am 10:52:10	95.47	96.37	83.23	84.04	82.69	93.32	95.83	93.87	96.16	89.57	95.9	95.86	93.12	91.71	94.64	94.3	95.29
2022-07-20	am 10:52:20	95.19	96.19	82.13	82.92	81.27	92.99	93.16	93.77	95.95	88.16	95.53	95.7	92.61	91.74	94.84	94.22	95.16
2022-07-20	am 10:52:30	95.01	96.07	81.47	82.03	80.29	91.94	93.94	93.74	95.82	87.44	95.27	95.58	92.42	91.67	94.67	94.11	95.06
2022-07-20	am 10:52:40	94.81	95.88	80.89	81.06	79.11	91.29	94.73	93.66	95.65	87.18	95	95.39	92.28	91.9	94.51	93.94	94.94
2022-07-20	am 10:52:50	94.63	95.68	80.64	80.07	78.42	91.33	95.2	93.46	95.45	87.34	94.74	95.23	92.13	92.1	94.31	93.81	94.75
2022-07-20	am 10:53:00	94.5	95.59	81.07	79.84	78.56	91.39	95.2	93.39	95.31	87.63	94.58	95.22	92.14	92.33	94.2	93.77	94.63
2022-07-20	am 10:53:10	94.52	95.58	81.71	80.1	78.92	91.39	94.11	93.14	95.31	87.97	94.54	95.31	92.34	92.63	94.25	93.5	94.67
2022-07-20	am 10:53:20	94.51	95.68	82.17	80.25	79.04	91.56	94.29	93.17	95.4	88.34	94.57	95.43	92.53	92.92	94.39	93.67	94.7
2022-07-20	am 10:53:30	94.5	95.84	82.83	80.53	78.83	91.76	93.63	92.97	95.5	88.57	94.57	95.55	92.79	93.12	94.4	93.84	94.71
