Date,Time,1,2,3,4,5,6,7,8,9,10,11
2022-07-20,am 11:41:20,70.18,76.54,72.35,70.85,71.02,75.05,76.85,74.8,75.91,70.43,70.6
2022-07-20,am 11:41:30,70.4,75.36,71.26,69.73,69.83,74.01,71.33,73.56,74.51,69.14,69.46
2022-07-20,am 11:41:40,70.94,74.42,70.36,68.51,69.01,73.05,74.49,72.48,73.27,68.08,68.53
2022-07-20,am 11:41:50,75.4,73.76,69.77,67.65,68.5,72.31,71.3,71.68,72.44,67.41,67.89
2022-07-20,am 11:42:00,79.72,73.43,69.36,67.03,68.19,71.85,72.8,71.24,72.06,66.87,67.49
2022-07-20,am 11:42:10,83.28,73.11,69.28,66.66,68.07,71.63,68.97,71.03,71.64,66.7,67.38
2022-07-20,am 11:42:20,87.22,73.09,69.23,66.51,68.07,71.57,70.21,71.01,71.54,66.65,67.34
2022-07-20,am 11:42:30,90.66,73.15,69.23,66.52,68.21,71.59,68.54,71.09,71.54,66.61,67.43
2022-07-20,am 11:42:40,92.34,73.17,69.32,66.62,68.37,71.71,70.38,71.21,71.68,66.68,67.55
2022-07-20,am 11:42:50,92.52,73.23,69.47,66.76,68.6,71.95,73.51,71.38,71.92,66.8,67.75
2022-07-20,am 11:43:00,91.19,73.48,69.7,67.02,68.85,72.27,70.72,71.63,72.25,66.93,67.93
2022-07-20,am 11:43:10,89.64,73.69,69.99,67.21,69.1,72.57,72.6,71.89,72.51,67.12,68.1
2022-07-20,am 11:43:20,88.12,73.89,70.53,67.39,70.97,72.88,77.2,72.21,72.8,68.32,68.77
2022-07-20,am 11:43:30,86.57,78.55,74.78,70.01,77.11,76.08,69.97,75.89,76.06,74.48,73.88
2022-07-20,am 11:43:40,85.35,83.56,79.12,75.35,81.57,80.19,77.25,80.58,81.43,79.58,78.45
2022-07-20,am 11:43:50,84.39,86.46,82.74,79.64,85.79,82.65,79.31,83.49,84.47,83.7,82.15
2022-07-20,am 11:44:00,83.56,88.74,87.37,84.19,90.57,86.38,83.29,87.12,87.49,88.07,85.97
2022-07-20,am 11:44:10,82.9,91.54,91.06,89.07,92.78,90.38,86.85,91.19,90.92,91.37,89.5
2022-07-20,am 11:44:20,82.67,93.38,92.36,91.43,92.95,92.22,89.34,92.22,93.29,92.46,91.34
2022-07-20,am 11:44:30,82.57,93.92,91.12,92.15,90.19,92.94,88.97,93.07,93.88,92.03,91.64
2022-07-20,am 11:44:40,82.49,92.68,89.08,90.77,87.87,90.91,91.27,91.94,92.89,89.52,90.46
2022-07-20,am 11:44:50,82.43,91.05,87.23,89.04,85.88,88.27,90.71,90.21,91.24,87.3,88.91
2022-07-20,am 11:45:00,82.31,89.81,85.61,87.34,84.45,86.72,89.22,88.63,89.73,85.5,87.5
2022-07-20,am 11:45:10,82.12,88.86,84.34,85.06,83.14,85.98,87.23,86.5,88.55,84.2,86.25
2022-07-20,am 11:45:20,81.95,87.88,82.89,83.48,81.97,85.07,86.35,85.49,85.91,82.98,85.42
2022-07-20,am 11:45:30,81.78,87.34,81.91,82.32,81.09,84.29,85.98,84.81,85.53,82.03,84.63
2022-07-20,am 11:45:40,81.56,86.72,81.14,81.41,79.97,83.25,85.02,84.36,85.62,81.19,83.91
2022-07-20,am 11:45:50,80.24,86.17,80.37,80.37,78.86,82.87,82.66,83.9,85.48,80.41,83.11
2022-07-20,am 11:46:00,80.59,85.66,79.91,79.36,77.98,83.03,81.42,83.54,85.25,79.86,82.23
2022-07-20,am 11:46:10,83.69,85.18,79.96,78.56,77.33,83.01,80,83.2,84.96,79.27,81.45
2022-07-20,am 11:46:20,88.62,84.79,80.13,77.87,76.89,82.88,76.9,83.01,84.78,78.93,80.88
2022-07-20,am 11:46:30,93.08,84.45,80.29,77.49,76.58,82.78,80.4,82.8,84.74,78.99,80.46
2022-07-20,am 11:46:40,96.92,84.15,80.38,77.17,76.24,82.65,82.63,82.57,84.77,79.62,80.16
2022-07-20,am 11:46:50,99.91,83.92,80.4,76.97,75.84,82.55,81,82.43,84.74,80.11,79.91
2022-07-20,am 11:47:00,97.56,83.66,80.31,76.72,75.53,82.54,82.66,82.28,84.7,80.43,79.74
2022-07-20,am 11:47:10,95.67,83.5,80.14,76.37,75.58,82.72,80.56,82.08,84.68,80.81,79.66
2022-07-20,am 11:47:20,93.42,83.46,79.94,76.19,73,82.97,77.67,81.97,84.66,80.76,79.41
2022-07-20,am 11:47:30,91.3,82.35,78.2,73.12,71,82.34,83.54,80.87,83.93,79.41,77.81
2022-07-20,am 11:47:40,89.5,82.21,78.11,72.99,79.88,81.63,83.35,80.47,82.8,81.13,78.39
2022-07-20,am 11:47:50,88.14,84.87,83.05,79.46,86.48,84.13,80.9,83.16,84.53,84.7,83.11
2022-07-20,am 11:48:00,87.1,88.16,88.48,85.7,91.5,87.14,87.1,87.43,87.27,89.67,88.34
2022-07-20,am 11:48:10,86.29,92.41,93.05,90.8,95.57,91.44,90.13,92.08,91.12,93.99,92.84
2022-07-20,am 11:48:20,85.61,96.26,96.91,94.97,99.08,95.46,96.79,96.04,95.05,97.68,96.69
2022-07-20,am 11:48:30,85.02,99.64,99.93,98.55,100.19,98.96,97.77,99.45,98.57,100.12,99.49
2022-07-20,am 11:48:40,84.57,99.01,97.21,98.8,94.65,99.76,100.32,98.69,99.73,98.19,96.91
2022-07-20,am 11:48:50,84.1,97.26,94.11,94.88,90.19,98.43,99.44,96.35,98.13,96.3,94.32
