기기 이름:		HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140
기기 설명		온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거
일련 번호:		P86635	P86737	P86733	P86729	P86746	P86735	P86738	P86739	P86731	P86744	P86732	P86648
기기 ID:		MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel
													
		채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1
Date	Time	1	2	3	4	5	6	7	8	9	10	11	12
2022-07-19	pm 2:08:00	82.42	86.97	77.49	88.16	88.99	77.81	73.82	80.39	84.36	84.1	86.43	76.7
2022-07-19	pm 2:08:10	82.65	86.79	76.92	88.11	89.13	78.55	76.84	80.85	84.23	84.13	86.15	76.16
2022-07-19	pm 2:08:20	82.94	86.75	76.65	88.1	89.37	79.07	75.33	81.14	84.22	84.21	85.97	75.77
2022-07-19	pm 2:08:30	83.24	86.78	76.71	88.18	89.59	79.37	74.18	81.34	84.23	84.35	85.83	75.45
2022-07-19	pm 2:08:40	83.59	86.86	76.83	88.27	89.84	79.58	76.8	81.29	84.22	84.47	85.78	75.23
2022-07-19	pm 2:08:50	83.89	87.06	76.76	88.3	90.2	79.99	75.11	81.32	84.29	84.61	85.85	75.07
2022-07-19	pm 2:09:00	84.21	87.29	76.73	88.38	90.56	80.24	78.44	81.28	84.2	84.78	85.91	75.28
2022-07-19	pm 2:09:10	83.99	87	75.72	88.32	89.72	80.37	80.42	80.93	84.03	84.33	85.65	72.61
2022-07-19	pm 2:09:20	82.94	85.53	72.52	87.33	89.21	78.69	80.58	78.77	82.35	83.12	84.74	72.13
2022-07-19	pm 2:09:30	84.95	88.3	79.48	88.65	91.5	80.62	82.22	80.76	84.09	84.94	86.36	81.38
2022-07-19	pm 2:09:40	87.86	91.88	86.52	90.37	93.73	86.27	86.42	87.16	87.64	88.17	88.98	88.07
2022-07-19	pm 2:09:50	91.94	94.36	91.57	92.11	95.34	91.3	87.96	91.97	91.19	92.35	91.92	92.64
2022-07-19	pm 2:10:00	95.31	96.74	95.16	94.85	97.11	94.92	91.66	95.41	94.64	95.64	95.01	95.91
2022-07-19	pm 2:10:10	97.96	98.61	97.87	97.46	99.24	97.66	94.95	98.04	97.41	98.2	97.64	98.42
2022-07-19	pm 2:10:20	100.05	100.56	100	99.62	101.11	99.82	101.97	100.11	99.64	100.25	99.78	100.44
2022-07-19	pm 2:10:30	101.94	102.27	101.88	101.52	102.91	101.69	102.13	101.97	101.52	102.11	101.67	102.29
2022-07-19	pm 2:10:40	103.68	103.98	103.63	103.28	104.58	103.45	100.8	103.7	103.25	103.84	103.42	104.01
2022-07-19	pm 2:10:50	105.32	105.59	105.27	104.93	106.15	105.1	103.49	105.34	104.89	105.46	105.07	105.62
2022-07-19	pm 2:11:00	106.84	107.06	106.79	106.47	107.61	106.63	106.92	106.86	106.43	106.96	106.6	107.11
2022-07-19	pm 2:11:10	108.23	108.42	108.19	107.89	108.94	108.05	108.05	108.26	107.86	108.35	108.01	108.49
2022-07-19	pm 2:11:20	109.53	109.69	109.49	109.21	110.19	109.36	110.47	109.55	109.17	109.64	109.31	109.76
2022-07-19	pm 2:11:30	110.74	110.89	110.7	110.43	111.36	110.58	111.69	110.77	110.39	110.84	110.54	110.96
2022-07-19	pm 2:11:40	111.88	112.02	111.85	111.58	112.46	111.73	111.08	111.9	111.55	111.97	111.68	112.09
2022-07-19	pm 2:11:50	112.96	113.08	112.92	112.67	113.51	112.81	110.7	112.98	112.64	113.04	112.77	113.16
2022-07-19	pm 2:12:00	113.98	114.11	113.96	113.71	114.52	113.85	112.73	114.01	113.68	114.07	113.8	114.18
2022-07-19	pm 2:12:10	114.97	115.09	114.94	114.71	115.49	114.85	116.95	115	114.69	115.05	114.8	115.16
2022-07-19	pm 2:12:20	115.91	116.03	115.89	115.67	116.41	115.8	119.32	115.94	115.64	116	115.75	116.1
2022-07-19	pm 2:12:30	116.82	116.93	116.8	116.58	117.3	116.71	118.86	116.85	116.55	116.9	116.66	117
2022-07-19	pm 2:12:40	117.69	117.8	117.67	117.46	118.16	117.59	116.45	117.72	117.43	117.76	117.54	117.86
2022-07-19	pm 2:12:50	118.53	118.63	118.51	118.31	118.96	118.43	119.98	118.56	118.28	118.59	118.39	118.69
2022-07-19	pm 2:13:00	119.3	119.4	119.28	119.1	119.7	119.21	119.42	119.33	119.07	119.36	119.16	119.44
2022-07-19	pm 2:13:10	119.98	120.07	119.97	119.8	120.33	119.91	122.9	120.01	119.78	120.03	119.85	120.11
2022-07-19	pm 2:13:20	120.58	120.66	120.56	120.41	120.88	120.51	119	120.6	120.39	120.61	120.46	120.68
2022-07-19	pm 2:13:30	121.08	121.15	121.07	120.94	121.34	121.03	120.7	121.1	120.92	121.11	120.97	121.16
2022-07-19	pm 2:13:40	121.51	121.58	121.5	121.39	121.75	121.46	122.66	121.54	121.37	121.53	121.41	121.58
2022-07-19	pm 2:13:50	121.88	121.94	121.87	121.78	122.08	121.84	122.28	121.9	121.75	121.9	121.8	121.94
2022-07-19	pm 2:14:00	122.19	122.24	122.19	122.1	122.36	122.16	122.43	122.21	122.08	122.2	122.11	122.24
2022-07-19	pm 2:14:10	122.42	122.48	122.43	122.37	122.53	122.42	122.24	122.46	122.35	122.43	122.37	122.45
2022-07-19	pm 2:14:20	122.53	122.57	122.53	122.5	122.61	122.53	122.67	122.56	122.48	122.52	122.48	122.54
2022-07-19	pm 2:14:30	122.63	122.66	122.63	122.6	122.68	122.62	122.07	122.65	122.58	122.62	122.58	122.62
2022-07-19	pm 2:14:40	122.57	122.59	122.58	122.57	122.6	122.56	121.99	122.58	122.55	122.56	122.54	122.56
2022-07-19	pm 2:14:50	122.51	122.55	122.52	122.55	122.48	122.56	122.26	122.55	122.54	122.49	122.5	122.48
2022-07-19	pm 2:15:00	122.44	122.44	122.44	122.45	122.46	122.44	122.3	122.43	122.43	122.43	122.43	122.42
2022-07-19	pm 2:15:10	122.39	122.41	122.4	122.41	122.39	122.41	122.45	122.41	122.4	122.38	122.38	122.37
2022-07-19	pm 2:15:20	122.37	122.36	122.36	122.36	122.41	122.34	122.59	122.35	122.34	122.36	122.35	122.37
2022-07-19	pm 2:15:30	122.3	122.3	122.3	122.31	122.31	122.31	122.18	122.3	122.3	122.29	122.29	122.28
2022-07-19	pm 2:15:40	122.33	122.36	122.34	122.35	122.32	122.35	122.4	122.37	122.33	122.32	122.32	122.31
2022-07-19	pm 2:15:50	122.32	122.35	122.33	122.34	122.32	122.34	121.75	122.36	122.32	122.31	122.31	122.31
2022-07-19	pm 2:16:00	122.33	122.37	122.33	122.35	122.31	122.35	122.3	122.38	122.33	122.32	122.32	122.31
2022-07-19	pm 2:16:10	122.3	122.31	122.3	122.32	122.3	122.33	121.85	122.33	122.31	122.29	122.29	122.28
2022-07-19	pm 2:16:20	122.3	122.29	122.29	122.28	122.38	122.25	122.9	122.29	122.25	122.3	122.28	122.31
2022-07-19	pm 2:16:30	122.37	122.4	122.37	122.37	122.39	122.37	122.82	122.4	122.35	122.36	122.36	122.36
2022-07-19	pm 2:16:40	122.38	122.4	122.38	122.38	122.42	122.39	122.6	122.4	122.37	122.38	122.37	122.38
2022-07-19	pm 2:16:50	122.38	122.41	122.38	122.39	122.38	122.38	122.31	122.41	122.38	122.37	122.37	122.37
2022-07-19	pm 2:17:00	122.4	122.41	122.4	122.42	122.42	122.43	122.5	122.43	122.41	122.39	122.39	122.39
2022-07-19	pm 2:17:10	122.46	122.46	122.45	122.43	122.53	122.42	122.58	122.46	122.42	122.46	122.44	122.47
2022-07-19	pm 2:17:20	122.49	122.51	122.49	122.48	122.51	122.48	122.59	122.5	122.46	122.49	122.47	122.48
2022-07-19	pm 2:17:30	122.41	122.41	122.41	122.43	122.42	122.42	122.91	122.42	122.43	122.4	122.41	122.4
2022-07-19	pm 2:17:40	122.44	122.45	122.44	122.45	122.47	122.46	122.42	122.46	122.45	122.44	122.44	122.44
2022-07-19	pm 2:17:50	122.45	122.47	122.45	122.47	122.48	122.47	122.18	122.48	122.46	122.45	122.45	122.45
2022-07-19	pm 2:18:00	122.45	122.47	122.46	122.48	122.44	122.48	122.25	122.48	122.48	122.45	122.45	122.44
2022-07-19	pm 2:18:10	122.47	122.48	122.47	122.47	122.51	122.47	122.15	122.49	122.46	122.47	122.46	122.47
2022-07-19	pm 2:18:20	122.48	122.49	122.48	122.48	122.51	122.46	122.34	122.49	122.46	122.48	122.47	122.47
2022-07-19	pm 2:18:30	122.52	122.54	122.52	122.51	122.56	122.5	122.62	122.54	122.49	122.52	122.51	122.52
2022-07-19	pm 2:18:40	122.5	122.52	122.5	122.52	122.5	122.53	122.13	122.54	122.52	122.49	122.5	122.48
2022-07-19	pm 2:18:50	122.51	122.51	122.51	122.5	122.55	122.49	122.02	122.51	122.49	122.51	122.5	122.51
2022-07-19	pm 2:19:00	122.51	122.5	122.5	122.5	122.58	122.47	122.93	122.5	122.48	122.52	122.5	122.52
2022-07-19	pm 2:19:10	122.53	122.55	122.53	122.54	122.54	122.54	122.7	122.56	122.54	122.53	122.53	122.52
2022-07-19	pm 2:19:20	122.49	122.52	122.5	122.53	122.46	122.52	122.68	122.53	122.52	122.48	122.49	122.46
2022-07-19	pm 2:19:30	122.49	122.52	122.49	122.52	122.47	122.52	122.49	122.54	122.51	122.48	122.49	122.47
2022-07-19	pm 2:19:40	122.47	122.5	122.48	122.51	122.45	122.51	122.92	122.52	122.5	122.46	122.47	122.45
2022-07-19	pm 2:19:50	122.49	122.52	122.49	122.51	122.46	122.51	122.12	122.53	122.5	122.48	122.49	122.47
2022-07-19	pm 2:20:00	122.48	122.51	122.48	122.5	122.47	122.51	122.04	122.53	122.5	122.48	122.48	122.47
2022-07-19	pm 2:20:10	122.47	122.48	122.47	122.48	122.49	122.47	122.53	122.49	122.47	122.47	122.47	122.47
2022-07-19	pm 2:20:20	122.46	122.47	122.46	122.47	122.49	122.46	122.78	122.48	122.46	122.46	122.46	122.46
2022-07-19	pm 2:20:30	122.47	122.5	122.47	122.5	122.44	122.5	122.79	122.52	122.49	122.46	122.47	122.45
2022-07-19	pm 2:20:40	122.49	122.52	122.49	122.51	122.48	122.51	122.35	122.53	122.5	122.48	122.48	122.47
2022-07-19	pm 2:20:50	122.51	122.53	122.5	122.52	122.53	122.53	122.17	122.54	122.51	122.51	122.5	122.5
2022-07-19	pm 2:21:00	122.5	122.49	122.49	122.49	122.55	122.47	122.87	122.49	122.48	122.5	122.49	122.51
2022-07-19	pm 2:21:10	122.51	122.54	122.51	122.53	122.49	122.53	121.16	122.56	122.53	122.51	122.51	122.5
2022-07-19	pm 2:21:20	122.52	122.52	122.51	122.51	122.56	122.49	121.13	122.52	122.49	122.52	122.51	122.52
