기기 이름:		HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140				
기기 설명		온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거				
일련 번호:		P86635	P86737	P86733	P86729	P86746	P86735	P86738	P86739				
기기 ID:		MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel				
													
		채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1				
Date	Time	1	2	3	4	5	6	7	8				
2022-07-19	pm 3:07:50	117.81	117.86	117.78	117.45	118.34	117.61	118.41	117.76				
2022-07-19	pm 3:08:00	118.75	118.81	118.72	118.42	119.23	118.57	117.36	118.71				
2022-07-19	pm 3:08:10	119.58	119.64	119.56	119.29	120.01	119.43	116.89	119.55				
2022-07-19	pm 3:08:20	120.3	120.35	120.28	120.05	120.67	120.17	118.73	120.28				
2022-07-19	pm 3:08:30	120.91	120.95	120.89	120.69	121.23	120.8	121.03	120.89				
2022-07-19	pm 3:08:40	121.42	121.46	121.4	121.23	121.69	121.32	121.51	121.4				
2022-07-19	pm 3:08:50	121.85	121.88	121.84	121.69	122.07	121.77	121.91	121.83				
2022-07-19	pm 3:09:00	122.19	122.22	122.18	122.06	122.38	122.13	122.23	122.19				
2022-07-19	pm 3:09:10	122.43	122.47	122.43	122.34	122.57	122.4	122.48	122.44				
2022-07-19	pm 3:09:20	122.54	122.57	122.54	122.49	122.59	122.53	122.54	122.55				
2022-07-19	pm 3:09:30	122.55	122.59	122.55	122.54	122.57	122.56	122.49	122.58				
2022-07-19	pm 3:09:40	122.58	122.6	122.59	122.55	122.61	122.57	122.46	122.59				
2022-07-19	pm 3:09:50	122.48	122.49	122.49	122.49	122.48	122.51	122.43	122.49				
2022-07-19	pm 3:10:00	122.44	122.45	122.44	122.45	122.43	122.46	122.47	122.45				
2022-07-19	pm 3:10:10	122.43	122.45	122.43	122.43	122.45	122.42	122.46	122.45				
2022-07-19	pm 3:10:20	122.41	122.4	122.41	122.39	122.47	122.38	122.35	122.4				
2022-07-19	pm 3:10:30	122.41	122.44	122.41	122.42	122.43	122.42	122.36	122.44				
2022-07-19	pm 3:10:40	122.4	122.39	122.39	122.39	122.43	122.4	122.37	122.39				
2022-07-19	pm 3:10:50	122.45	122.48	122.45	122.45	122.46	122.47	122.37	122.49				
