"공정 
 
  배치번호"	공정일자	투입배지 Lot No.				제조사 Lot No.(소형발효점도)				YEO LOD값	YEO 점도(Cp)	YEO 점도(Cp)	특이사항	"특이사항
 (내부 확인용)"	본배양					균체제거						한외여과		흡착			벌크 회수					침전	QC Release (LIMS)					QC IPC(LIMS)					"연구소
 (자체분석)"
															"P.68
HSB17006		Y160527013(종)	Y161004002(본)			"051500340
 (10188cP)"		"051500550
 (13178cP)"							1198								0.041		4544	165	3556	0.2	6.8	3221	6.2			3342	3,035				91								
HSB17007		Y160527013(종)	Y161004003(본)			"051500340
 (10188cP)"		"051600170
 (13200cP)"							1207								0.041		4208	152	3591	0.4	6.8	3249	9.2			3323	2,954				94								
HSB17008		Y160527013(종)	Y161004003(본)			"051500340
 (10188cP)"		"051600170
 (13200cP)"							1206								0.044		4423	160	3385	2.6	6.9	3225	9.4			2980	15				97								
HSB17009		Y160527013(종)	Y161004003(본)			"051500340
 (10188cP)"		"051600170
 (13200cP)"							1207								0.052		4840	160	3712	1.9	6.9	3504	8.8			3475	3,085				100								
HSB17010		Y160527013(종)	Y161004003(본1/3)	Y161004002(본2/3)		"051500340
 (10188cP)"		"051600170
 (13200cP)"							1204								0.039		4502	160	3527	2.4	6.8	3321	7.2			3299	2,997				91								
HSB17011		Y160527013(종)	Y161004003(본)			"051500340
 (10188cP)"		"051600170
 (13200cP)"							1215								0.057		4640	154	3663	1.8	6.6	3429	8.7			3457	3,064				97								
HSB17012		Y160527013(종)	Y161004003(본)			"051500340
 (10188cP)"		"051600170
 (13200cP)"							1201								0.059		4718	160	3613	1.4	6.7	3460	9.8			3427	2,995				97								
HSB17013		Y160527013(종)	Y161004003(본)			"051500340
 (10188cP)"		"051600170
 (13200cP)"							1201								0.059		4561	160	3425	1.6	6.8	3379	6.6			3336	3,021				94								
HSB17014		Y160527013(종)	Y170124011(본)			"051500340
 (10188cP)"		51400640							1250								0.06		4585	155	3698	2.4	6.8	3375	8.2			3468	3,104				100								
HSB17015		Y160527013(종)	Y170124011(본)			"051500340
 (10188cP)"		51400640							1219								0.048		4517	155	3669	1.1	6.8	3407	6.4			3366	15				100								
HSB17016		Y160527013(종)	Y170124011(본)			"051500340
 (10188cP)"		51400640							1201								0.066		4481	160	3668	2.2	6.6	3438	6			3324	3,009				103								
