"공정 
 
  배치번호"	공정일자	투입배지 Lot No.				제조사 Lot No.(소형발효점도)				YEO LOD값	YEO 점도(Cp)	YEO 점도(Cp)	특이사항	"특이사항
 (내부 확인용)"	본배양					균체제거						한외여과		흡착			벌크 회수					침전	QC Release (LIMS)					QC IPC(LIMS)					"연구소
 (자체분석)"
															"P.68
HSB21025	21.08.09~21.08.16	Y200519001	Y200519001	Y200519001		AC19A06000 (12346 cP)	AC19A06000 (12346 cP)	AC19A06000 (12346 cP)							1134								0.049		4296		4043	1.7	6.6	3677	3.6	1821	1711	3552	3332		93.814	0.01	96.9	0	5.97	0.15	0.02	0.02	116	0	
HSB21026	21.08.14~21.08.21	Y200519001	Y200519001	Y200519001		AC19A06000 (12346 cP)	AC19A06000 (12346 cP)	AC19A06000 (12346 cP)							1123								0.042		3932		3983	2.5	6.7	3468	4.6	2069	1325	3414	3171		92.884	0.01	100	0.01	6.31	0.15	0.02	0.02	15	0	
HSB21027	21.09.03~21.09.10	Y200519001	Y200519001	Y200519001		AC19A06000 (12346 cP)	AC19A06000 (12346 cP)	AC19A06000 (12346 cP)							1134								0.015		4343		4132	2.5	6.9	3674	5.3	1498	1994	3512	3244		92.357	0.01	103	0.02	7.91	0.15	0.02	0.02	4	0	
HSB21028	21.09.08.~21.09.15	Y200519001	Y200519001	Y200519001		AC19A06000 (12346 cP)	AC19A06000 (12346 cP)	AC19A06000 (12346 cP)							1130								0.034		4081		3529	1.4	6.1	3925	8	2010	1719	3749	3384		90.255	0.01	106	0	11.14	0.15	0.02	0.02	55	0	
HSB21029	21.09.24~21.10.01	Y200519001	Y200519001	Y200519001		AC19A06000 (12346 cP)	AC19A06000 (12346 cP)	AC19A06000 (12346 cP)							1129								0.017		4282		4024	1.7	6.9	3678	7	2028	1571	3619	3255		89.949	0.01	103	0.01	10.57	0.15	0.02	0.02	119	0	
HSB21030	21.09.29~21.09.22	Y200519001	Y200519001	Y200519001		AC19A06000 (12346 cP)	AC19A06000 (12346 cP)	AC19A06000 (12346 cP)							1130								0.015		4267		4267	1.2	6.6	3577	6.6	1406	2063	3489	3160		90.562	0.01	103	0	10.29	0.15	0.02	0.02	30	0	
HSB21031	21.10.06~21.10.13	Y200519001	Y200519001	Y200519001		AC19A06000 (12346 cP)	AC19A06000 (12346 cP)	AC19A06000 (12346 cP)							1132								0.016		4064		4394	0.5	6.9	3698	7.3	1940	1662	3622	3273		90.366	0.01	106	0.01	10.36	0.15	0.02	0.02	9	0	
HSB21032	21.10.11~21.10.18	B210726002	B210726002	B210726002		AC20A09990(19856cP)	AC20A09990(19856cP)	AC20A09990(19856cP)							1134								0.085		4788		5204	1.2	6.9	4030	6.6	1942	1746	3708	3400		91.689	0.01	112.1	0.03	9.03	0.15	0.02	0.03	18	0	
HSB21033	21.10.16~21.10.23	B210726002	Y200519001	Y200519001		AC20A09990(19856cP)	AC19A06000 (12346 cP)	AC19A06000 (12346 cP)							1140								0.017		4020		2814	1.7	6.9	3701	5.6	1783	1773	3576	3236		90.487	0.01	100	0.05	9.45	0.15	0.02	0.03	11	0	
HSB21034	21.10.21.~21.10.28	B210726002	B210726002	Y200519001		AC20A09990(19856cP)	AC20A09990(19856cP)	AC19A06000 (12346 cP)							1122								0.016		3860		3964	2.1	7	3480	6.3	1845	1531	3396	3090		91.001	0.01	103	0	9.09	0.6	0.03	0.03	32	0	
HSB21035	21.10.26~21.11.04	B210726002	B210726002	B210726002		AC20A09990(19856cP)	AC20A09990(19856cP)	AC20A09990(19856cP)							1126								0.089		4092		4298	2.6	6.7	3552	5	1903	1485	3408	3148		92.378	0.01	115.1	0.01	8.41	0.15	0.02	0.02	250	0	
HSB21037	21.12.13~21.12.20	B210726002	B210726002	B210726002		AC20A09990(19856cP)	AC20A09990(19856cP)	AC20A09990(19856cP)							1030								0.086		4072		4222	2.7	6.6	4036	9.3	2083	1559	3662	3289		89.801	0.01	115.1	0	11.66	0.15	0.02	0.03	0	0	
HSB21038	21.12.20~~21.12.27	B210726002	B210726002	B210726002		AC20A09990(19856cP)	AC20A09990(19856cP)	AC20A09990(19856cP)							1026								0.09		4246		4412	1.3	6.6	3866	3.6	1556	1586	3162	2959		93.594	0.01	118.1	0	7.14	0.3	0.02	0.03	5	0	
HSB21039	22.01.03.~22.01.10.	Y210504002	Y210504002	Y210504002		AC20A09190(9773cP)	AC20A09190(9773cP)	AC20A09190(9773cP)							1026								0.017		3754		3911	2.9	6.6	3388	3.5	1674	1629	3323	3124		94	0.01	100	0.01	6.23	0.6	0.02	0.02	97	0	
HSB22001	22.01.10~22.01.19	Y210504002	Y210504002	Y210504002		AC20A09190(9773cP)	AC20A09190(9773cP)	AC20A09190(9773cP)							1030								0.017		3696	191	3780	2.4	6.6	3374	4	1603	1686	3309	3097		93.6	0.01	103	0.02	7.23	3	0.06	0.03	38	0	
HSB22002	22.02.07~22.02.16	Y210504002	B211124005	Y210504002		AC20A09190(9773cP)	AC20A09990(19856cP)	AC20A09190(9773cP)							1033	8.67			155				0.023		3887	233	3928	1.3	6.9	3501	5.1	1676	1795	3491	3205		91.81	0.01	96.9	0.01	8.79	0.6	0.02	0.02	0	0	
HSB22003	22.02.14~22.02.23	Y210504002	B211124005	Y210504002		AC20A09190(9773cP)	AC20A09990(19856cP)	AC20A09190(9773cP)							1026								0.015		4209	245	3824	1.1	7	3655	6	1976	1467	3463	3162		91.32	0.01	93.9	0.02	9.17	0.15	0.02	0.03	42	0	
HSB22004	22.02.21~22.03.02	Y210504002	B211124005	Y210504002		AC20A09190(9773cP)	AC20A09990(19856cP)	AC20A09190(9773cP)							1032								0.014		3910	268	3792	1.5	6.7	3566	6.6	1759	1676	3455	3141		90.9	0.01	93.9	0	9.55	0.3	0.02	0.02	8	0	
HSB22005	22.03.07~22.03.16	Y210504002	B211124005	Y210504002		AC20A09190(9773cP)	AC20A09990(19856cP)	AC20A09190(9773cP)							1035								0.014		4191	230	3815	2.5	6.7	3515	8.6	1839	1587	3446	3144		91.24	0.01	93.9	0.02	9.55	0.3	0.02	0.02	0	0	
HSB22006	22.03.14~22.03.23	Y210504002	B211124005	Y210504002		AC20A09190(9773cP)	AC20A09990(19856cP)	AC20A09190(9773cP)							1039								0.02		3927	202	3957	2.9	6.7	3552	6.1	1972	1436	3428	3130		91.3	0.01	96.9	0	9.81	0.3	0.02	0.02	3	0	
HSB22007	22.03.21~22.03.30	B211124005	B211124005	Y210504002		AC20A09990(19856cP)	AC20A09990(19856cP)	AC20A09190(9773cP)					칭량일탈		1036								0.017		3970	197	4051	2.1	6.7	3717	9.1	1589	1998	3607	3306		91.65	0.01	96.9	0.01	9.86	0.6	0.02	0.02	6	0	
HSB22008	22.03.28~22.04.06	B211124005	B211124005	Y210504002		AC20A09990(19856cP)	AC20A09990(19856cP)	AC20A09190(9773cP)							1034								0.015		3969	204	3831	1.7	6.6	3605	6.2	1968	1539	3527	3226		91.47	0.01	96.9	0	8.87	0.6	0.02	0.02	6	0	
HSB22009	22.04.04~22.04.13	B211124005	B211124005	Y210504002		AC20A09990(19856cP)	AC20A09990(19856cP)	AC20A09190(9773cP)							1036								0.041		3965	193	3912	1.1	6.5	3772	6.5	2075	1424	3519	3252		92.42	0.01	96.9	0	8.59	0.6	0.02	0.02	1	0	
HSB22010	22.04.11~22.04.20	B211124005	B211124005	Y210504002		AC20A09990(19856cP)	AC20A09990(19856cP)	AC20A09190(9773cP)							1029								0.019		3589	196	3962	1.1	6.6	3619	11	2187	1348	3555	3282		92.33	0.01	96.9	0	9.79	0.6	0.02	0.02	79	0	
HSB22011	22.05.07~22.05.14	B211124005	B211124005	Y210504002		AC20A09990(19856cP)	AC20A09990(19856cP)	AC20A09190(9773cP)							1021								0.019		3978	234	4051	2.3	6.7	3763	6	1817	1847	3684	3412		92.62	0.01	93.9	0	8.33	0.6	0.02	0.02	0	0	
HSB22012	22.05.12~22.05.19	B211124005	B211124005	Y210504002		AC20A09990(19856cP)	AC20A09990(19856cP)	AC20A09190(9773cP)							1035								0.022		4197	132	4455	2.5	6.8	3910	7.5	2223	1559	3802	3453		90.83	0.01	109	0	9.12	0.3	0.02	0.02	35	7	
HSB22013	22.05.17~22.05.24	B210726001	B210726001	Y210504002		AC20A09190(9773cP)	AC20A09190(9773cP)	AC20A09190(9773cP)							954								0.016		3758	174	3676	2.2	6.6	3322	7.1	1999	1238	3257	2971		91.22	0.01	96.9	0	9.27	0.6	0.02	0.02	115	0	
HSB22014	22.05.22~22.05.29	B210726001	B210726001	B210726001		AC20A09190(9773cP)	AC20A09190(9773cP)	AC20A09190(9773cP)							957								0.021		3795	166	3795	1.3	6.7	3349	6.2	2129	1065	3214	2994		93.16	0.01	96.9	0	7.99	0.3	0.02	0.02	259	0	
HSB22015	22.05.27~22.06.03	B211124005	B211124005	B211124005		AC20A09990(19856cP)	AC20A09990(19856cP)	AC20A09990(19856cP)					필터프레스 작업자 실수로 필터 1EA 장착을 거꾸로 함		952								0.062		4182	165	4266	1.2	6.5	4001	7.8	2039	1792	3851	3470		90.095	0.01	109	0.01	9.8	0.15	0.02	0.02	330	0	
HSB22016	22.06.01~22.06.08	B211124005	B211124005	B211124004		AC20A09990(19856cP)	AC20A09990(19856cP)	AC20A09190(9773cP)							957								0.025		3924	172	4177	2.5	6.6	3669	7.5	2118	1515	3653	3317		90.79	0.01	103	0	9.1	0.3	0.02	0.02	30	0	
HSB22017	22.06.12~22.06.19	B211124005	B211124005	B211124004		AC20A09990(19856cP)	AC20A09990(19856cP)	AC20A09190(9773cP)					종배양 3 25분이 set인데 32 분 과멸균함		950								0.035		4039	154	4433	0.8	6.5	3781	6.8	1825	1854	3699	3375		91.24	0.01	106	0.01	8.6	0.3	0.02	0.02	247	0	
HSB22018	22.06.23~22.06.30	B211124004	B211124005	B211124004		AC20A09190(9773cP)	AC20A09990(19856cP)	AC20A09190(9773cP)					본배양 배지 pH 8.13까지 작업자 실수		971								0.013		3953	223	4074	2	6.6	3638	6.1	2056	1454	3530	3291		93.23	0.01	96.9	0	7.6	0.15	0.02	0.02	53	0	
HSB22019	22.06.28~22.07.05	B211124004	B211124004	B211124004		AC20A09190(9773cP)	AC20A09190(9773cP)	AC20A09190(9773cP)					흡착제제거액생산량이 작게 나와서 일탈		1038	3.7	7.5	7.04					0.011		4110	184	3735	2.1	6.5	3017	6.9	1839	1392	3251	2956		90.93	0.01	93.9	0	9.2	0.3	0.02	0.02	213	0	
HSB22020	22.07.09~22.07.16	B211124004	B211124004	B211124004		AC20A09190(9773cP)	AC20A09190(9773cP)	AC20A09190(9773cP)							1031	3.47	7.25	7.04					0.012		3817	178	3533	1.9	6.6	3197	8.8	1865	1298	3183	2857		89.75	0.01	93.9	0.01	8.4	0.6	0.02	0.02	56	0	
HSB22021	22.07.14~22.07.21	B211124004	B211124004	B211124004		AC20A09190(9773cP)	AC20A09190(9773cP)	AC20A09190(9773cP)							1030	3.37	7.9	7.06					0.016		3767	184	3776	2.4	6.6	3350	9.9	1960	1275	3255	3001		92.2	0.01	93.9	0	8.1	0.6	0.02	0.02	117	0	
HSB22022	22.08.08~22.08.15	B211124005	B211124005	B211124004	B210726001(본)	AC20A09990(19856cP)	AC20A09990(19856cP)	AC20A09190(9773cP)	AC20A09190(9773cP)						1028	3.46	6.7						0.014		3904	253	4054	2.9	6.6	3749	4.4	2022	1459	3501	3314		94.66	0.01	96.9	0.01	6.1	0.6	0.02	0.02	220	0	
HSB22023	22.08.17~22.08.24	B211124005	B211124005	B211124004		AC20A09990(19856cP)	AC20A09990(19856cP)	AC20A09190(9773cP)							1039	3.49	6.95						0.022		4399	110	4429	1.6	6.6	3924	7.4	2016	1814	3850	3576		92.88	0.01	103	0.01	9.1	0.15	0.02	0.02	21	0	
HSB22024	22.08.28~22.09.04	B211124005	B211124005	B211124005		AC20A09990(19856cP)	AC20A09990(19856cP)	AC20A09990(19856cP)							1039	3.92	6.3						0.022		4350	269	4131	2.6	6.6	3819	8.4	1769	1977	3766	3411		90.57	0.01	100	0.02	9.9	0.15	0.02	0.02	139	0	
HSB22025	22.09.17~22.09.24	B211124005	B211124005	B211124005		AC20A09990(19856cP)	AC20A09990(19856cP)	AC20A09990(19856cP)							1030	3.76	6.7						0.036		3505	237	4226	2.5	6.5	3545	7.5	2192	1433	3645	3334		91.47	0.01	96.9	0.01	8.9	0.15	0.02	0.02	30	0	
HSB22026	22.09.29~22.10.06	B210726001	B210726001	B210726001		AC20A09190(9773cP)	AC20A09190(9773cP)	AC20A09190(9773cP)							1031	3.76	6.55						0.014		4267	315	4210	2.3	7.6	3936	9.8	2208	1647	3875	3419		88.24	0.01	96.9	0	11.8	0.15	0.02	0.02	66	0	
HSB22027	22.10.04~22.10.11	B211124005	B211124005	B211124004		AC20A09990(19856cP)	AC20A09990(19856cP)	AC20A09190(9773cP)					EDTA 잔류량 감소를 위해 Washing 8번 실시시작		1034	3.88	6.75						0.024		3909	243	3963	2.1	7.6	3605	10.6	1912	1681	3613	3214		88.97	0.01	96.9	0.02	10.5	0.15	0.02	0.02	52	0	
HSB22028	22.10.09~22.10.16	B211124005	B211124005	B211124004		AC20A09990(19856cP)	AC20A09990(19856cP)	AC20A09190(9773cP)							1040	3.8	7.05						0.016		4002	269	4058	1.8	7.6	3735	8.6	1876	1711	3607	3295		91.34	0.01	93.9	0.01	10.2	0.15	0.02	0.02	83	0	
HSB22029	22.10.14~22.10.21	B211124005	B211124005	B211124004		AC20A09990(19856cP)	AC20A09990(19856cP)	AC20A09190(9773cP)							1031	3.17	8.6						0.008		3790	247	3981	2.4	7.6	3669	6.3	1902	1662	3584	3276		91.41	0.01	96.9	0.01	8.6	0.3	0.02	0.02	87	0	
HSB22030	22.10.19~22.10.26	B211124005	B211124005	B211124005		AC20A09990(19856cP)	AC20A09990(19856cP)	AC20A09990(19856cP)			19856	19856	종배양 6.9, 본배양 7.3 pH 조절 생산(GVP22152)		1027	3.88	5.95	7.24	227	1058	59	X	0.05		4446	239	4434	2.2	7.6	3982	10.2	2167	1884	4071	3616		88.83	0.01	109	0.01	12.3	0.15	0.02	0.02	71	0	
HSB22031	22.11.07~22.11.14	B211124005	B211124005	B211124005		AC20A09990(19856cP)	AC20A09990(19856cP)	AC20A09990(19856cP)			19856	19856	종배양 6.9, 본배양 7.3 pH 조절 생산(GVP22152)		1037	3.87	6.55	7.23	231	1056	103	X	0.099		4931	170	4592	2.2	7.5	3898	9.9	2344	1522	3916	3489		89.09	0.01	112.1	0.01	11.6	0.15	0.02	0.02	6	0	
HSB22032	22.11.12~22.11.19	B211124005	B211124005	B211124005		AC20A09990(19856cP)	AC20A09990(19856cP)	AC20A09990(19856cP)			19856	19856	종배양 6.9, 본배양 7.3 pH 조절 생산(GVP22152)	"*탈착 공정 중 활성탄 필터 Leak로 교체
 *1차 제균여과 소요시간 4H20min 소요 / 2차 제균여과
 4H30min 소요 (1,2,차 bioburden 필터 교체 후 여과공정 진행)"	1040	2.61	6.45	7.22	250	1057	67	X	0.094		4634	104	5167	1.6	7.5	3876	9.3	1418	1741	3179	2820		88.71	0.01	118.1	0	10.9	0.3	0.02	0.02	73	0	
HSB22033		B211124005	B211124005(7.5KG)	B211124004(7.5KG)		AC20A09990(19856cP)	AC20A09990(19856cP)	AC20A09190(9773cP)			15408	14815			1047	3.39	7.05	7.03	251	1058	46	X	0.014		3949	225	4161	1.4	7.5	3611	8.2	1895	1716	3631	3289		90.57	0.01	100	0	9.8	0.3	0.02	0.02	19	0	
HSB22034		B211124005	B211124005(7.5KG)	B211124004(7.5KG)		AC20A09990(19856cP)	AC20A09990(19856cP)	AC20A09190(9773cP)			15408	14815			1026	3.93	7.25	7.03	290	1058	42	X	0.041		4103	153	4318	1.4	7.3	3768	8	2312	1217	3549	3196		90.05	0.01	106	0	11.2	0.3	0.02	0.02	33	0	
HSB22035		B211124005	B211124005(7.5KG)	B211124004(7.5KG)		AC20A09990(19856cP)	AC20A09990(19856cP)	AC20A09190(9773cP)			15408	14815			1038	3.86	7.1	7.04	332	1056	53	X	0.054		4016	220	4184	2.2	7.5	3672	8.7	1834	1801	3655	3309		90.54	0.01	96.9	0.03	11	0.15	0.02	0.02	123	0	
HSB22036		B211124005	B211124005(7.5KG)	B211124004(7.5KG)		AC20A09990(19856cP)	AC20A09990(19856cP)	AC20A09190(9773cP)			15408	14815			1020	3.9	7	7.05	315	1056	45	X	0.015		4154		4094	2	7.5	3664	12.5	2407	1288	3715	3252		87.55	0.01	96.9	0.01	13.4	0.15	0.02	0.02	86	0	
HSB22037		B211124005	B211124005(7.5KG)	B211124004(7.5KG)		AC20A09990(19856cP)	AC20A09990(19856cP)	AC20A09190(9773cP)			15408	14815		TK153 침전탱크 상부 메카니컬 seal leak 발생하여 공정 후 교체(고무와 협착하여 마모발생)	1032	3.48	6.6	7.03	308	1056	45	X	0.016		4018	191	4112	2.1	7.5	3614	10.6	2154	1454	3628	3200		88.21	0.01	100	0	12	0.15	0.02	0.02	21	0	
HSB22038		B220407001	B220407001(6.5)	B211124005(1KG)	B211124004(7.5KG)	AC20A09990(19856cP)	AC20A09990(19856cP)	AC20A09990(19856cP)	AC20A09190(9773cP)		15408	14815		"1.흡착제 제거 중 시작 직후 흡착제 Leak
 (조치:흡착제제거 후 필터 추가 사용)
 2.침전공정 시 에탄올4 시작 시 작업자 착오로 에탄올3 시작 -> 곧바로 리셋 후 에탄올 모두 투입된 후 정치때 에탄올이 14kg 추가투입 되었음. 모두 리셋 후 수동작업으로 Bypass함(원인:리셋이 완전히 안됨)"	1028	3.8	7		344	1057	47	s	0.016		4138	279	3997	2.1	7.5	3469	10.4	2200	1302	3522	3093		87.83	0.01	96.9	0.01	12.9	0.15	0.02	0.02	21	0	
HSB22039		B220407001	B220407001(7.5KG)	B211124004(7.5KG)		AC20A09990(19856cP)	AC20A09990(19856cP)	AC20A09190(9773cP)			15408	14815			1031	3.84	7.55		312	1055	38	X	0.017		3948	233	3820	2.4	7.5	3491	8.9	1892	1514	3426	3014		87.98	0.01	100	0	11.5	0.3	0.02	0.02	85	0	
HSB22040		B220407001	B220407001(7.5KG)	B211124004(7.5KG)		AC20A09990(19856cP)	AC20A09990(19856cP)	AC20A09190(9773cP)			15408	14815		생산량 증가로 인해 제균여과시 압력 3bar로 진행	1042	3.9	6.65		264	1056	40	X	0.021		4082	146	4440	2.3	7.5	4025	10.6	1728	2201	3949	3449		87.34	0.01	112.1	0.01	13	0.3	0.02	0.02	51	0	
HSB22041		B220407001	B220407001	B220407001		AC20A09990(19856cP)	AC20A09990(19856cP)	AC20A09990(19856cP)			19856	19856			1055	3.78	6.35	7.03	219	1056	52	X	0.019		4159	296	4494	2.2	7.6	3800	11	2074	1816	3910	3426		87.61	0.01	100	0	13.5	0.15	0.02	0.02	87	0	
HSB23001		B220407001	B220407001	B220407001		AC20A09990(19856cP)	AC20A09990(19856cP)	AC20A09990(19856cP)			19856	19856			1024	3.74	7.05	7.04	242	1055	49	X	0.033		4359	250	4451	2.8	7.5	3894	7.2	1807	1991	3818	3477		91.06	0.01	103	0.01	9.6	0.15	0.02	0.02	54	0	
HSB23002		B220407001	B220407001(7.5KG)	B211124004(7.5KG)		AC20A09990(19856cP)	AC20A09990(19856cP)	AC20A09190(9773cP)		"AC20A09990(1.67%)
 AC20A09190(0.33%)"	15408	14815	"소형발효 Test 점도 Middle값(14815cP 예상) YEO 사용, pH 변화(종배양 pH6.9, 본배양 pH7.3) Test
 (Phase1)"		1033	3.77	6.3	7.25	220	1056	50	X	0.023		3934	256	4031	1.9	7.5	3566	6.3	1838	1700	3558	3262		91.68	0.01	106	0	9.4	0.3	0.02	0.02	60	0	
HSB23003		B220407001	B220407001(7.5KG)	B211124004(7.5KG)		AC20A09990(19856cP)	AC20A09990(19856cP)	AC20A09190(9773cP)		"AC20A09990(1.00%)
 AC20A09190(1.34%)"	15408	14815		균체제거 시 Air Flushing X	1037	3.71	6.6	7.25	260	1507	50	X	0.017	8.74	4055	349	3927	2.2	7.6	3484	7.7	1937	1473	3430	3137		91.47	0.01	100	0	8.9	0.6	0.02	0.02	4	0	
HSB23004		B220407001	B220407001(7.5KG)	B211124004(7.5KG)		AC20A09990(19856cP)	AC20A09990(19856cP)	AC20A09190(9773cP)		작업자 실수로 측정 X	15408	14815			1038	3.92	7	7.23	265	1507	48	X	0.013	8.42	4233	281	3983	2.1	7.5	3661	10	1758	1822	3600	3189		88.58	0.01	106	0	10.55	0.15	0.02	0.02	97	0	
HSB23005		B220407001	B220407001(10KG)	B230202061(5KG)		AC20A09990(19856cP)	AC20A09990(19856cP)	AC21A00830(8644cP)		작업자 실수로 측정 X	16558	16119	"소형발효 Test 점도 Middle High값(16119cP 예상) 
 YEO 사용, 신규입고 YEO(8644cP)5KG+(19856cP)10KG, pH 변화(종배양 pH6.9, 본배양 pH7.3) Test(Phase2)"	"1.NaOH 투입 방식 변경
 -0.7bar 유지
 -벨브 닫히는 간격 DO값 하락 이후부터 40초 →10초,22초 → 5초, 본배양pH setting을 7.3으로 했으나 7.2로 유지됨
 2.본배양 배지 조제(약 pH6.9)→종배양3(pH6.9)이송
 3.균체제거까지의 Holding Time 최소화"	1035	2.6	6.55	7.21	38	1057	56	X	0.027	8.99	4108	214	4180	0	7.5	3763	10.6	1582	2166	3768		99		0.01	103		11.61	0.15	0.02	0.02	35	0	
HSB23006		B220407001	B220407001(10KG)	B230202061(5KG)		AC20A09990(19856cP)	AC20A09990(19856cP)	AC21A00830(8644cP)		"AC20A09990(1.99%)
 AC21A00830(1.32%)"	16558	16119		"1.NaOH 투입 방식 변경
 -DO값 하락 전까지 0.7bar, pH setting 7.4
 -DO값 하락 후부터는 1bar, pH7.3"	1045	2.41	6.5	7.27	38	1056	139	X	0.1	9.31	4094	139	4289	2.3	7.5	3742	9.2	1649	2092	3761		128					10.65	0.15	0.02	0.02			
HSB23007		B220407001	B220407001(10KG)	B230202061(5KG)		AC20A09990(19856cP)	AC20A09990(19856cP)	AC21A00830(8644cP)		"AC20A09990(1.67%)
 AC21A00830(1.00%)"	16558	16119		"1.NaOH 투입 방식 변경
 -DO값 하락 전까지 0.7bar, pH setting 7.4
 -DO값 하락 후부터는 압력 변경 X, pH7.3, 벨브 닫히는 간격 40초 →10초,22초 → 5초
 
 2.제균여과 시 특이사항
 -1차 제균 시간이 상당히 길어짐(250min)
 -2차 제균 시작 시 필터 새것으로 갈고, 1.5~2 → 3bar로 압력 조절(200min)"	1038	2.81	6.25	7.3	40	1504	43	X	0.096	10.25	4062	133	4607	2.4	7.4	3890	8.87	1836	1852	3708													
HSB23008		B220407001	B220407001(10KG)	B230202061(5KG)		AC20A09990(19856cP)	AC20A09990(19856cP)	AC21A00830(8644cP)		"AC20A09990(1.66%)
 AC21A00830(2.33%)"	16558	16119		"1.NaOH 투입 방식 변경
 -DO값 하락 전(pO2 30% 이상)까지 0.7bar, pH setting 7.4
 -DO값 하락(pO2 30% 이하) 후부터는 압력 변경 1bar, pH7.3"				7.27					0.091	9.15		177																					
HSB23009																																															
HSB23010																																															
HSB23011																																															
HSB23012																																															
HSB23013																																															
Mean (평균)															950								0.07		4353.94	152	3790.4	1.95	6.84	3489.83	7.86	1846.21	1642.07	3423.74	3051.19		89	0.01	102.78	0.02	9.15	0.31	0.02	0.02	20.39	N/A	3078.92
s (표준편차)															1260								0.02		340.12	26.06	229.76	0.64	0.52	177.36	1.96	210	215.06	173.01	390.69		2.01	0	5.74	0.02	2.55	0.39	0.01	0	17.08	N/A	282.17
RSD (상대표준편차)															4116								37.51		7.81	17.14	6.06	32.61	7.57	5.08	24.91	11.37	13.1	5.05	12.8		2.26	21.76	5.59	103.06	27.91	126.18	38.14	19.06	83.77	N/A	9.16
USL (기준의 상한)															-2052								0.1					3			15								110			15	15	15		N/A	
LSL (기준의 하한)																							-					-			-								90			-	-	-		N/A	
Min. (최소값)																							0.01		3505	100	2670	0.2	5.9	2452	3.3	1406	1065	2363	#REF!		#REF!	0	90.9	0	3.52	0.15	0.02	0.02	0	N/A	2544
Max. (최대값)																							0.14		6788	315	5204	2.91	8.6	4036	14.1	2512	2109	4071	#REF!		#REF!	0.01	118.1	0.09	14.65	3	0.06	0.03	330	N/A	3488
UCL (Mean+3s)																							0.14		5374.3	230.17	4479.68	3.85	8.4	4021.9	13.73	2476.22	2287.25	3942.79	4223.27		95.04	0.01	120	0.06	16.82	1.48	0.04	0.03	71.61	N/A	3925.41
LCL (Mean-3s)																							-0.01		3333.58	73.83	3101.13	0.04	5.29	2957.77	1.98	1216.2	996.89	2904.7	1879.1		82.95	0	85.55	-0.03	1.49	-0.86	0	0.01	-30.84	N/A	2232.42
Pp																							0.47					0.55			1.22								0.58			12.52				N/A	
Ppk																							0.47					0.55			1.22								0.42			12.52				N/A	
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
