	광역시도	시도	20-39세여자	20-39세합계	65세이상합계	인구수남자	인구수여자	인구수합계	소멸비율	소멸위기지역	ID	x	y	여성비	2030여성비
233	충청남도	아산시	42296	89939	35067	155692	147237	302929	2.412296461	0	아산	1	11	-1.39554153	-2.972570298
234	충청남도	예산군	6665	15115	22006	40827	40512	81339	0.605743888	1	예산	3	12	-0.19363405	-5.9047304
235	충청남도	청양군	2410	5617	10329	16389	16364	32753	0.466647304	1	청양	3	13	-0.038164443	-7.094534449
236	충청남도	태안군	5271	12227	16868	32260	31640	63900	0.624970358	1	태안	0	11	-0.48513302	-6.890488264
237	충청남도	홍성군	10428	22119	21315	49769	50202	99971	0.978465869	1	홍성	2	12	0.216562803	-2.855011529
238	충청북도	괴산군	2726	6332	11592	19773	19200	38973	0.470324362	1	괴산	8	12	-0.735124317	-6.948831333
239	충청북도	단양군	2289	5196	7897	15362	15141	30503	0.579713815	1	단양	7	11	-0.36225945	-5.946882217
240	충청북도	보은군	2498	5595	10187	17093	17128	34221	0.490428978	1	보은	8	13	0.05113819	-5.352993744
241	충청북도	상당구	21071	44430	23576	86804	86897	173701	1.787495758	0	청주 상당	6	14	0.026770139	-2.574836822
242	충청북도	서원구	29168	60978	24187	107866	109254	217120	2.411874147	0	청주 서원	7	14	0.319638909	-2.166355079
243	충청북도	영동군	4217	9586	13750	25248	25304	50552	0.613381818	1	영동	7	15	0.055388511	-6.008762779
244	충청북도	옥천군	4445	9818	13255	26251	26016	52267	0.670690306	1	옥천	6	15	-0.22480724	-4.726013445
245	충청북도	음성군	10179	22863	16906	51372	46415	97787	1.204187862	0	음성	5	11	-2.534590487	-5.47828369
246	충청북도	제천시	14279	30842	24131	68444	68073	136517	1.183456964	0	제천	7	10	-0.135880513	-3.702743013
247	충청북도	증평군	4554	10085	5323	19110	18198	37308	1.711065189	0	증평	6	13	-1.222257961	-4.843827467
248	충청북도	진천군	7622	17013	11306	36387	33563	69950	1.348310632	0	진천	5	12	-2.018584703	-5.198965497
249	충청북도	청원구	27805	60021	20331	97006	93807	190813	2.735231912	0	청주 청원	7	13	-0.838255255	-3.674547242
250	충청북도	충주시	22757	49357	34790	104877	103473	208350	1.308249497	0	충주	6	12	-0.336933045	-3.893064814
251	충청북도	흥덕구	37675	78608	23459	127647	125916	253563	3.211986871	0	청주 흥덕	7	12	-0.341335289	-2.072308162
